ID,X,Y,AI2015,PTAL2015
1,530870,155930,0,0
2,530945,155898,0,0
3,531045,155898,0,0
4,531145,155898,0,0
5,531245,155898,0,0
6,531334,155949,0,0
7,530828,156052,0,0
8,530945,156052,0,0
9,531045,156052,0,0
10,531145,156052,0,0
11,531245,156052,0,0
12,531347,156052,0,0
13,530795,156152,0,0
14,530945,156152,0,0
15,531045,156152,0,0
16,531145,156152,0,0
17,531245,156152,0,0
18,531395,156152,0,0
19,530731,156230,0,0
20,530845,156252,0,0
21,530945,156252,0,0
22,531045,156252,0,0
23,531145,156252,0,0
24,531245,156252,0,0
25,531345,156252,0,0
26,531438,156243,0,0
27,530636,156338,0,0
28,530745,156352,0,0
29,530845,156352,0,0
30,530945,156352,0,0
31,531045,156352,0,0
32,531145,156352,0,0
33,531245,156352,0,0
34,531345,156352,0,0
35,531495,156352,0,0
36,530538,156443,0,0
37,530645,156452,0,0
38,530745,156452,0,0
39,530845,156452,0,0
40,530945,156452,0,0
41,531045,156452,0,0
42,531145,156452,0,0
43,531245,156452,0,0
44,531345,156452,0,0
45,531445,156452,0,0
46,531548,156440,0,0
47,530461,156545,0,0
48,530545,156552,0,0
49,530645,156552,0,0
50,530745,156552,0,0
51,530845,156552,0,0
52,530945,156552,0,0
53,531045,156552,0,0
54,531145,156552,0,0
55,531245,156552,0,0
56,531345,156552,0,0
57,531445,156552,0,0
58,531545,156552,0,0
59,531645,156502,0,0
60,531745,156544,2.41683426544204,1a
61,531859,156544,2.7558636818154,1b
62,543633,156541,1.56326331216414,1a
63,543745,156548,1.55525026568859,1a
64,543870,156560,1.52827305145186,1a
65,530439,156652,0,0
66,530545,156652,0,0
67,530645,156652,0,0
68,530745,156652,0,0
69,530845,156652,0,0
70,530945,156652,0,0
71,531045,156652,0,0
72,531145,156652,0,0
73,531245,156652,0,0
74,531345,156652,0,0
75,531445,156652,2.42911956247208,1a
76,531545,156652,2.67828098406965,1b
77,531645,156652,2.77396470213497,1b
78,531745,156652,0,0
79,531845,156652,2.68167282115293,1b
80,531965,156638,3.09287341963465,1b
81,543595,156652,1.44488660650319,1a
82,543745,156652,1.40965023053655,1a
83,543845,156652,1.43587902719196,1a
84,543945,156602,1.31640292899652,1a
85,544045,156626,0,0
86,544145,156640,0,0
87,544245,156658,0,0
88,544362,156668,0,0
89,530435,156752,0,0
90,530545,156752,0,0
91,530645,156752,0,0
92,530745,156752,0,0
93,530845,156752,0,0
94,530945,156752,0,0
95,531045,156752,0,0
96,531145,156752,0,0
97,531245,156752,0,0
98,531345,156752,0,0
99,531445,156752,2.50651985742128,1b
100,531545,156752,2.77396470213497,1b
101,531645,156752,2.87724661421597,1b
102,531745,156752,3.11083892954431,1b
103,531845,156752,3.25523603785031,1b
104,531945,156752,3.27797494542713,1b
105,532045,156702,3.45370716856662,1b
106,532151,156753,4.09768431816797,1b
107,540626,156735,0,0
108,540745,156735,0,0
109,540859,156733,1.2297349921092,1a
110,543533,156728,1.51900656970341,1a
111,543645,156752,1.39644488406598,1a
112,543745,156752,1.2498828234853,1a
113,543845,156752,1.21297887395128,1a
114,543945,156752,0,0
115,544045,156752,0,0
116,544145,156752,0,0
117,544245,156752,0,0
118,544345,156752,0,0
119,544445,156702,0,0
120,544545,156748,0,0
121,544663,156771,0,0
122,530395,156852,0,0
123,530545,156852,0,0
124,530645,156852,0,0
125,530745,156852,0,0
126,530845,156852,0,0
127,530945,156852,0,0
128,531045,156852,0,0
129,531145,156852,0,0
130,531245,156852,0,0
131,531345,156852,0,0
132,531445,156852,2.67828098406965,1b
133,531545,156852,2.77396470213497,1b
134,531645,156852,3.06384751729059,1b
135,531745,156852,3.43463258845481,1b
136,531845,156852,3.88240584403438,1b
137,531945,156852,3.78942710080091,1b
138,532045,156852,3.01525651041622,1b
139,532145,156852,3.87945673916611,1b
140,532259,156846,3.50186740395047,1b
141,540565,156833,0,0
142,540645,156852,0,0
143,540745,156852,0,0
144,540895,156852,1.29580537003342,1a
145,542572,156860,0,0
146,543238,156858,1.42191045518908,1a
147,543345,156839,1.45795618841654,1a
148,543445,156840,1.70333569907736,1a
149,543545,156852,1.55565350410952,1a
150,543645,156852,1.43328933931334,1a
151,543745,156852,1.29256023869279,1a
152,543845,156852,1.23372384119918,1a
153,543945,156852,0,0
154,544045,156852,0,0
155,544145,156852,0,0
156,544245,156852,0,0
157,544345,156852,0,0
158,544445,156852,0,0
159,544545,156852,0,0
160,544645,156852,0,0
161,544745,156802,0,0
162,544845,156838,0,0
163,544945,156836,0,0
164,545045,156842,0,0
165,545145,156841,0,0
166,545245,156848,0,0
167,545348,156868,0,0
168,530329,156929,0,0
169,530445,156952,0,0
170,530545,156952,0,0
171,530645,156952,0,0
172,530745,156952,0,0
173,530845,156952,0,0
174,530945,156952,0,0
175,531045,156952,0,0
176,531145,156952,0,0
177,531245,156952,2.80301813231862,1b
178,531345,156952,3.02320076573276,1b
179,531445,156952,3.08247985551547,1b
180,531545,156952,3.00768126332,1b
181,531645,156952,2.93721345145143,1b
182,531745,156952,3.36543609638287,1b
183,531845,156952,3.91874276740494,1b
184,531945,156952,4.54196705334118,1b
185,532045,156952,3.41566532109502,1b
186,532145,156952,3.06698235031125,1b
187,532245,156952,2.42175107559344,1a
188,532345,156902,2.63536082707195,1b
189,532461,156964,0,0
190,540550,156952,0,0
191,540645,156952,0,0
192,540745,156952,0,0
193,540845,156952,0,0
194,540926,156931,0,0
195,542556,156952,0,0
196,542659,156929,0,0
197,542940,156975,0,0
198,543135,156945,1.30606558626019,1a
199,543245,156952,1.30957902490928,1a
200,543345,156952,1.61012230220654,1a
201,543445,156952,1.61799207183885,1a
202,543545,156952,1.47989196788634,1a
203,543645,156952,1.42486508308744,1a
204,543745,156952,1.36024348358356,1a
205,543845,156952,1.28544342442128,1a
206,543945,156952,1.2163477132663,1a
207,544045,156952,0,0
208,544145,156952,0,0
209,544245,156952,0,0
210,544345,156952,0,0
211,544445,156952,0,0
212,544545,156952,0,0
213,544645,156952,0,0
214,544745,156952,0,0
215,544845,156952,0,0
216,544945,156952,0,0
217,545045,156952,0,0
218,545145,156952,0,0
219,545245,156952,0,0
220,545345,156952,0,0
221,545465,156949,0,0
222,530238,157036,0,0
223,530345,157052,0,0
224,530445,157052,0,0
225,530545,157052,0,0
226,530645,157052,0,0
227,530745,157052,0,0
228,530845,157052,0,0
229,530945,157052,0,0
230,531045,157052,0,0
231,531145,157052,0,0
232,531245,157052,3.14780463994429,1b
233,531345,157052,3.14780463994429,1b
234,531445,157052,3.40197932343521,1b
235,531545,157052,3.45966470757166,1b
236,531645,157052,3.36431112499482,1b
237,531745,157052,3.32722928801196,1b
238,531845,157052,2.82506372631712,1b
239,531945,157052,2.60065746557184,1b
240,532045,157052,3.02343948525019,1b
241,532145,157052,3.02343948525019,1b
242,532245,157052,0,0
243,532345,157052,0,0
244,532445,157052,0,0
245,532565,157036,0,0
246,540540,157052,0,0
247,540645,157052,0,0
248,540745,157052,0,0
249,540845,157052,0,0
250,540944,157052,0,0
251,542561,157052,0,0
252,542645,157052,0,0
253,542745,157002,0,0
254,542845,157002,0,0
255,542945,157052,0,0
256,543045,157027,1.21853390062856,1a
257,543145,157052,1.21636620731948,1a
258,543245,157052,1.48332189939369,1a
259,543345,157052,1.54836711784364,1a
260,543445,157052,1.47977334804886,1a
261,543545,157052,1.42554215149949,1a
262,543645,157052,1.3196747001864,1a
263,543745,157052,1.29839215771137,1a
264,543845,157052,1.22524619790789,1a
265,543945,157052,0,0
266,544045,157052,0,0
267,544145,157052,0,0
268,544245,157052,0,0
269,544345,157052,0,0
270,544445,157052,0,0
271,544545,157052,0,0
272,544645,157052,0,0
273,544745,157052,0,0
274,544845,157052,0,0
275,544945,157052,0,0
276,545045,157052,0,0
277,545145,157052,0,0
278,545245,157052,0,0
279,545345,157052,0,0
280,545445,157052,0,0
281,545557,157032,0,0
282,530053,157153,0,0
283,530145,157145,0,0
284,530245,157152,0,0
285,530345,157152,0,0
286,530445,157152,0,0
287,530545,157152,0,0
288,530645,157152,0,0
289,530745,157152,0,0
290,530845,157152,0,0
291,530945,157152,0,0
292,531045,157152,0,0
293,531145,157152,0,0
294,531245,157152,3.28390855214145,1b
295,531345,157152,3.53415450438248,1b
296,531445,157152,4.06726701042378,1b
297,531545,157152,3.94672568985321,1b
298,531645,157152,3.26080147895373,1b
299,531745,157152,3.1702252201845,1b
300,531845,157152,2.81893290948523,1b
301,531945,157152,2.57140536791159,1b
302,532045,157152,2.46897401702847,1a
303,532145,157152,0,0
304,532245,157152,0,0
305,532345,157152,0,0
306,532445,157152,0,0
307,532545,157152,0,0
308,532645,157102,0,0
309,532750,157154,0,0
310,540495,157152,0,0
311,540645,157152,0,0
312,540745,157152,0,0
313,540845,157152,0,0
314,540945,157152,0,0
315,542567,157173,0,0
316,542645,157152,0,0
317,542745,157152,0,0
318,542845,157152,0,0
319,542945,157152,0,0
320,543045,157152,0,0
321,543145,157152,1.5470297029703,1a
322,543245,157152,1.57288348865558,1a
323,543345,157152,1.64029662030551,1a
324,543445,157152,1.52271703476236,1a
325,543545,157152,1.30417771595009,1a
326,543645,157152,1.28749148378029,1a
327,543745,157152,1.21430450709356,1a
328,543845,157152,0,0
329,543945,157152,0,0
330,544045,157152,0,0
331,544145,157152,0,0
332,544245,157152,0,0
333,544345,157152,0,0
334,544445,157152,0,0
335,544545,157152,0,0
336,544645,157152,0,0
337,544745,157152,0,0
338,544845,157152,0,0
339,544945,157152,0,0
340,545045,157152,0,0
341,545145,157152,0,0
342,545245,157152,0,0
343,545345,157152,0,0
344,545445,157152,0,0
345,545545,157152,0,0
346,545618,157140,0,0
347,530042,157252,0,0
348,530145,157252,0,0
349,530245,157252,0,0
350,530345,157252,0,0
351,530445,157252,0,0
352,530545,157252,0,0
353,530645,157252,0,0
354,530745,157252,0,0
355,530845,157252,0,0
356,530945,157252,0,0
357,531045,157252,3.46672244278983,1b
358,531145,157252,3.59746795243395,1b
359,531245,157252,2.04832336198141,1a
360,531345,157252,3.48670696357494,1b
361,531445,157252,5.46756021029517,2
362,531545,157252,4.55415915507191,1b
363,531645,157252,3.59199343202629,1b
364,531745,157252,3.27847613504037,1b
365,531845,157252,2.93519495654102,1b
366,531945,157252,0,0
367,532045,157252,0,0
368,532145,157252,0,0
369,532245,157252,0,0
370,532345,157252,0,0
371,532445,157252,0,0
372,532545,157252,0,0
373,532645,157252,0,0
374,532745,157252,0,0
375,532875,157265,0,0
376,540461,157237,0,0
377,540545,157252,0,0
378,540645,157252,0,0
379,540745,157252,0,0
380,540845,157252,0,0
381,540995,157252,0,0
382,542595,157252,0,0
383,542745,157252,0,0
384,542845,157252,0,0
385,542945,157252,0,0
386,543045,157252,1.41060303279652,1a
387,543145,157252,1.55572409233222,1a
388,543245,157252,1.66223404255319,1a
389,543345,157252,1.71546203110704,1a
390,543445,157252,1.59547947482134,1a
391,543545,157252,1.23451709806181,1a
392,543645,157252,1.24591831967149,1a
393,543745,157252,0,0
394,543845,157252,0,0
395,543945,157252,0,0
396,544045,157252,0,0
397,544145,157252,0,0
398,544245,157252,0,0
399,544345,157252,0,0
400,544445,157252,0,0
401,544545,157252,0,0
402,544645,157252,0,0
403,544745,157252,0,0
404,544845,157252,0,0
405,544945,157252,0,0
406,545045,157252,0,0
407,545145,157252,0,0
408,545245,157252,0,0
409,545345,157252,0,0
410,545445,157252,0,0
411,545545,157252,0,0
412,545695,157252,0,0
413,529053,157351,1.912929811417,1a
414,529223,157350,0,0
415,529367,157334,0,0
416,529560,157343,0,0
417,529645,157324,0,0
418,529745,157323,0,0
419,529858,157351,0,0
420,530020,157352,0,0
421,530145,157352,0,0
422,530245,157352,0,0
423,530345,157352,0,0
424,530445,157352,0,0
425,530545,157352,0,0
426,530645,157352,2.05214149515609,1a
427,530745,157352,2.12481518534586,1a
428,530845,157352,0,0
429,530945,157352,2.03224495325837,1a
430,531045,157352,3.59395388851407,1b
431,531145,157352,4.15546903907549,1b
432,531245,157352,4.35103259096158,1b
433,531345,157352,4.69984594439313,1b
434,531445,157352,4.83893210000211,1b
435,531545,157352,4.02481173158163,1b
436,531645,157352,3.65759475661113,1b
437,531745,157352,3.46616510462177,1b
438,531845,157352,3.17531584172855,1b
439,531945,157352,0.774953502789833,1a
