,Clusters,Polygon
0,0,"[(0.139546, 51.351730700000005), (0.1303335, 51.3571351), (0.12378779999999999, 51.35537), (0.10866019999999998, 51.35613789999999), (0.09398510000000002, 51.350973700000004), (0.08824080000000001, 51.3489481), (0.07222089999999999, 51.3471954), (0.06607880000000001, 51.343191100000006), (0.057820800000000006, 51.3375361), (0.055743499999999994, 51.334819), (0.05352180000000001, 51.331323700000006), (0.057245000000000004, 51.315447600000006), (0.0580314, 51.3102519), (0.0526486, 51.301826299999995), (0.052594100000000005, 51.31085529999999), (0.0406037, 51.307675200000006), (0.0321466, 51.3070169), (0.024500099999999997, 51.3156391), (0.0311909, 51.3192081), (0.0444883, 51.3164201), (0.051374500000000003, 51.3219122), (0.045171499999999996, 51.3319155), (0.0536655, 51.3369321), (0.056711300000000006, 51.337434), (0.0578425, 51.3592195), (0.05184400000000001, 51.364312899999994), (0.049875300000000004, 51.36538710000001), (0.050020499999999996, 51.3656618), (0.05604730000000001, 51.368056200000005), (0.0689417, 51.368587899999994), (0.0773305, 51.3671102), (0.09123400000000001, 51.3666128), (0.09534630000000001, 51.366823100000005), (0.10388130000000001, 51.367739), (0.114381, 51.3670943), (0.12658930000000002, 51.3586706), (0.1321648, 51.3583809), (0.13673110000000002, 51.358596899999995), (0.13960350000000002, 51.352025), (0.139546, 51.351730700000005)]"
1,1,"[(-0.0443433, 51.4097257), (-0.050594099999999996, 51.4081107), (-0.0519793, 51.4078425), (-0.0684206, 51.404846299999996), (-0.090036, 51.4031339), (-0.0918101, 51.411545700000005), (-0.1006534, 51.4140742), (-0.1069805, 51.415550399999994), (-0.11442449999999998, 51.419002500000005), (-0.11044460000000002, 51.42349), (-0.10651300000000001, 51.4249674), (-0.096458, 51.434449799999996), (-0.0947796, 51.4374939), (-0.0909187, 51.443127399999995), (-0.08943999999999999, 51.4432901), (-0.088876, 51.443152600000005), (-0.08229299999999999, 51.4412574), (-0.07396169999999999, 51.438903700000004), (-0.0632918, 51.4226127), (-0.0499228, 51.4208571), (-0.046288800000000005, 51.420817), (-0.039149699999999996, 51.4182844), (-0.035536, 51.415899200000005), (-0.0443433, 51.4097257)]"
2,2,"[(-0.448596, 51.469007399999995), (-0.45114449999999995, 51.4689781), (-0.4581187, 51.469681200000004), (-0.47284160000000003, 51.4683385), (-0.4882513, 51.470139), (-0.4885268, 51.4702197), (-0.4920291, 51.4728292), (-0.49298220000000004, 51.475137100000005), (-0.48693869999999995, 51.473308), (-0.47610979999999997, 51.4716869), (-0.4701951, 51.471266799999995), (-0.4544746, 51.4724667), (-0.4499681, 51.473079299999995), (-0.4432852, 51.4710407), (-0.4429419, 51.4706965), (-0.4432852, 51.4704526), (-0.4482848, 51.469064200000005), (-0.448596, 51.469007399999995)]"
3,3,"[(-0.0933225, 51.6409273), (-0.095839, 51.6406372), (-0.10095069999999999, 51.6433023), (-0.11475, 51.643091), (-0.12367719999999999, 51.6317727), (-0.1205396, 51.6225612), (-0.127997, 51.6246445), (-0.135892, 51.6301155), (-0.135465, 51.6336843), (-0.1315269, 51.644110299999994), (-0.14110250000000002, 51.653076), (-0.1413699, 51.6607989), (-0.1352243, 51.666416), (-0.11976500000000001, 51.667193100000006), (-0.1122142, 51.667434), (-0.10537650000000001, 51.66803170000001), (-0.0954984, 51.6741494), (-0.08538380000000001, 51.674975399999994), (-0.0828098, 51.6725465), (-0.0766602, 51.6654909), (-0.0748604, 51.661186799999996), (-0.0743052, 51.6523272), (-0.07842619999999999, 51.641738399999994), (-0.0933225, 51.6409273)]"
4,4,"[(-0.2108913, 51.353247100000004), (-0.2212, 51.3507849), (-0.22490589999999996, 51.3544203), (-0.22353589999999998, 51.3623196), (-0.23209929999999998, 51.3728734), (-0.24106620000000004, 51.372120200000005), (-0.247054, 51.3815652), (-0.2540103, 51.38467), (-0.251535, 51.387779200000004), (-0.24337870000000003, 51.3821255), (-0.2415094, 51.3808059), (-0.2370808, 51.3769104), (-0.2223723, 51.3757895), (-0.2079241, 51.3782304), (-0.2044567, 51.37517570000001), (-0.20367739999999998, 51.372681899999996), (-0.2044008, 51.36626879999999), (-0.2074197, 51.359454), (-0.2108913, 51.353247100000004)]"
5,5,"[(-0.0858358, 51.32590870000001), (-0.0995706, 51.3220615), (-0.11265730000000002, 51.3246468), (-0.1188866, 51.326541399999996), (-0.1215901, 51.327717), (-0.12467160000000001, 51.3336492), (-0.13446229999999998, 51.345161499999996), (-0.1374412, 51.3466683), (-0.1260291, 51.3469658), (-0.12010239999999998, 51.3441365), (-0.1079971, 51.348246), (-0.0996745, 51.352779999999996), (-0.0978043, 51.352964), (-0.0962945, 51.352983), (-0.08571820000000001, 51.346093700000004), (-0.0813965, 51.345453000000006), (-0.0850666, 51.340573299999996), (-0.09066410000000001, 51.3302826), (-0.0858358, 51.32590870000001)]"
6,6,"[(-0.0640576, 51.3192599), (-0.0745289, 51.3277968), (-0.0779529, 51.3309316), (-0.0789039, 51.3324931), (-0.0783252, 51.3336347), (-0.0756575, 51.336654100000004), (-0.06705139999999998, 51.345603100000005), (-0.063838, 51.348327600000005), (-0.0590891, 51.3503415), (-0.050762699999999994, 51.3512567), (-0.0483657, 51.3521071), (-0.0409615, 51.3557241), (-0.0338251, 51.364496200000005), (-0.0345856, 51.373226700000004), (-0.0403118, 51.3789594), (-0.040176199999999995, 51.3831762), (-0.0396579, 51.3837223), (-0.0386169, 51.3843267), (-0.033924199999999995, 51.383261600000004), (-0.0199758, 51.3827835), (-0.0101774, 51.3847698), (0.005138800000000001, 51.386863299999995), (0.0105917, 51.3834571), (0.0074807, 51.3699377), (-0.0008577999999999999, 51.36740770000001), (-0.0044782, 51.364814200000005), (-0.0131148, 51.3499016), (-0.005433299999999999, 51.34425220000001), (-0.0026628, 51.3317342), (-0.0086616, 51.3371957), (-0.020430900000000002, 51.3375246), (-0.0640576, 51.3192599)]"
7,7,"[(0.1209134, 51.3735847), (0.1181856, 51.3702289), (0.11387449999999999, 51.3743439), (0.1015662, 51.3753586), (0.09803660000000002, 51.3734241), (0.0928723, 51.3717527), (0.09084099999999999, 51.371830700000004), (0.0822596, 51.3727328), (0.0893686, 51.3788097), (0.0943385, 51.384946), (0.10438620000000001, 51.3981122), (0.10326030000000001, 51.4045695), (0.10336880000000001, 51.4100725), (0.0984261, 51.420939700000005), (0.09477239999999999, 51.425199), (0.0843239, 51.4274859), (0.07682869999999999, 51.4298292), (0.08311289999999999, 51.430677100000004), (0.09046069999999999, 51.4311802), (0.1018904, 51.4290439), (0.1180606, 51.4276941), (0.1217407, 51.4213233), (0.132385, 51.4205784), (0.13700820000000002, 51.4130191), (0.1339027, 51.4115597), (0.1242021, 51.408424700000005), (0.1211692, 51.3972023), (0.12754780000000002, 51.388013799999996), (0.1209134, 51.3735847)]"
8,8,"[(-0.4561375, 51.4887505), (-0.46978220000000004, 51.492517), (-0.4744858, 51.4984941), (-0.4779433, 51.50482279999999), (-0.4772049, 51.514955799999996), (-0.48336309999999993, 51.519243200000005), (-0.49084570000000005, 51.5186167), (-0.48924309999999993, 51.522505200000005), (-0.4855773, 51.529717100000006), (-0.4944035, 51.5388085), (-0.48586190000000007, 51.549635200000004), (-0.4846618, 51.5508492), (-0.4844448, 51.5509636), (-0.4721608, 51.5532875), (-0.46639830000000004, 51.5533785), (-0.46092429999999995, 51.543062400000004), (-0.4507875, 51.5311612), (-0.4499146, 51.5235078), (-0.4570335, 51.5133623), (-0.45371229999999996, 51.501841), (-0.4461559, 51.4961133), (-0.4561375, 51.4887505)]"
9,9,"[(0.058100099999999995, 51.4436019), (0.0504982, 51.4461421), (0.0386353, 51.4446689), (0.0300108, 51.4499899), (0.027146800000000002, 51.45312929999999), (0.028152499999999997, 51.454526200000004), (0.038138, 51.4629918), (0.0502634, 51.4635828), (0.0620177, 51.4620606), (0.0675533, 51.4590972), (0.078336, 51.459544799999996), (0.1042423, 51.451429100000006), (0.1326215, 51.44552410000001), (0.13814970000000001, 51.445746500000006), (0.1341414, 51.4393064), (0.13926729999999998, 51.4308985), (0.1294846, 51.4304448), (0.1118293, 51.431410299999996), (0.1019674, 51.431442100000005), (0.094945, 51.4345311), (0.09181210000000001, 51.435804700000006), (0.0845705, 51.4457089), (0.0743962, 51.443793299999996), (0.0630182, 51.4430982), (0.058100099999999995, 51.4436019)]"
