Codes,Ward names,Borough,Hectares,Square Kilometres,Population 2015,Population per hectare 2015,Population per square kilometre 2015,Census population (2011),Population per hectare 2011
E09000001,City of London,City of London,315.1,3,8210.798436,26,2605.775448,7375,23.40526817
E05000026,Abbey,Barking and Dagenham,127.9,1,14062,110,10994.52697,12786,99.96872557
E05000027,Alibon,Barking and Dagenham,136.1,1,10965,81,8056.576047,10385,76.3041881
E05000028,Becontree,Barking and Dagenham,128.4,1,14132,110,11006.23053,11545,89.91433022
E05000029,Chadwell Heath,Barking and Dagenham,338,3,10443,31,3089.64497,10021,29.64792899
E05000030,Eastbrook,Barking and Dagenham,345.4,3,10768,31,3117.544876,10506,30.41690793
E05000031,Eastbury,Barking and Dagenham,144.5,1,11960,83,8276.816609,11624,80.44290657
E05000032,Gascoigne,Barking and Dagenham,113.4,1,14166,125,12492.06349,12452,109.8059965
E05000033,Goresbrook,Barking and Dagenham,128,1,11974,94,9354.6875,11267,88.0234375
E05000034,Heath,Barking and Dagenham,200.5,2,11691,58,5830.922693,10786,53.79551122
E05000035,Longbridge,Barking and Dagenham,164,2,11838,72,7218.292683,11478,69.98780488
E05000036,Mayesbrook,Barking and Dagenham,185.1,2,11015,60,5950.837385,10342,55.87250135
E05000037,Parsloes,Barking and Dagenham,124.3,1,10245,82,8242.156074,9839,79.15526951
E05000038,River,Barking and Dagenham,355.2,4,11798,33,3321.509009,10923,30.75168919
E05000039,Thames,Barking and Dagenham,788.4,8,14994,19,1901.826484,10728,13.60730594
E05000040,Valence,Barking and Dagenham,129.3,1,11128,86,8606.341841,9867,76.31090487
E05000041,Village,Barking and Dagenham,214,2,11223,52,5244.392523,10787,50.40654206
E05000042,Whalebone,Barking and Dagenham,155.4,2,11221,72,7220.720721,10575,68.05019305
E05000043,Brunswick Park,Barnet,317.4,3,17185,54,5414.303718,16394,51.65091367
E05000044,Burnt Oak,Barnet,206.4,2,19433,94,9415.213178,18217,88.26065891
E05000045,Childs Hill,Barnet,308.9,3,21638,70,7004.85594,20049,64.90449984
E05000046,Colindale,Barnet,264.2,3,20093,76,7605.223316,17098,64.71612415
E05000047,Coppetts,Barnet,272,3,18165,67,6678.308824,17250,63.41911765
E05000048,East Barnet,Barnet,375.2,4,17129,46,4565.298507,16137,43.00906183
E05000049,East Finchley,Barnet,252.4,3,17213,68,6819.730586,15989,63.34786054
E05000050,Edgware,Barnet,556,6,17982,32,3234.172662,16728,30.08633094
E05000051,Finchley Church End,Barnet,270.9,3,16768,62,6189.737911,15715,58.01033592
E05000052,Garden Suburb,Barnet,473.1,5,16978,36,3588.670471,15929,33.6694145
E05000053,Golders Green,Barnet,297.8,3,21557,72,7238.750839,18818,63.19006044
E05000054,Hale,Barnet,542.2,5,18640,34,3437.845813,17437,32.15971966
E05000055,Hendon,Barnet,284,3,19888,70,7002.816901,18472,65.04225352
E05000056,High Barnet,Barnet,830.9,8,15999,19,1925.502467,15307,18.4221928
E05000057,Mill Hill,Barnet,938.7,9,19686,21,2097.155641,18451,19.65590711
E05000058,Oakleigh,Barnet,331.7,3,16713,50,5038.589087,15811,47.66656617
E05000059,Totteridge,Barnet,876.8,9,16381,19,1868.270985,15159,17.28900547
E05000060,Underhill,Barnet,455.2,5,16531,36,3631.59051,15915,34.96265378
E05000061,West Finchley,Barnet,216.1,2,17666,82,8174.919019,16533,76.50624711
E05000062,West Hendon,Barnet,342.6,3,18623,54,5435.785172,17402,50.79392878
E05000063,Woodhouse,Barnet,261.2,3,18768,72,7185.298622,17575,67.2856049
