id,lat,lon,amenity,type
21392280,51.5154842,-0.1049292,pub,Food and Drinks
21686579,51.5154029,-0.1043348,pub,Food and Drinks
21693791,51.5150736,-0.0997325,pub,Food and Drinks
25473538,51.5096824,-0.0785077,pub,Food and Drinks
25474641,51.5197763,-0.0937556,cinema,Entertainment
25475187,51.5114165,-0.0776978,pub,Food and Drinks
25496840,51.516754,-0.110371,pub,Food and Drinks
32921722,51.5137876,-0.1092189,pub,Food and Drinks
32921723,51.5136388,-0.1090351,parking,Transportation
116097320,51.5149285,-0.0778751,pub,Food and Drinks
116097730,51.5148281,-0.0781193,pub,Food and Drinks
180391012,51.5188735,-0.0785998,cafe,Food and Drinks
248074287,51.5124286,-0.1040162,pub,Food and Drinks
255396262,51.5178198,-0.1090776,bank,Services
255396266,51.5146474,-0.0981098,bank,Services
255396267,51.514642,-0.0982288,bank,Services
259246781,51.5158593,-0.1024019,pub,Food and Drinks
259247147,51.5140162,-0.1021419,pub,Food and Drinks
259247148,51.5140437,-0.1023097,pub,Food and Drinks
259248888,51.5108908,-0.0811851,pub,Food and Drinks
259253467,51.5110137,-0.0847662,pub,Food and Drinks
263679615,51.5130453,-0.0912975,pub,Food and Drinks
266560384,51.5093933,-0.0916244,pub,Food and Drinks
276920899,51.5157129,-0.0894453,pub,Food and Drinks
277906484,51.5132004,-0.0871776,pub,Food and Drinks
280546902,51.5116974,-0.0819854,bank,Services
280547869,51.512255,-0.0800589,bank,Services
280547870,51.5120445,-0.0794831,bank,Services
288045288,51.5142284,-0.0742511,pub,Food and Drinks
289830212,51.5132258,-0.0867502,pub,Food and Drinks
291746120,51.5189603,-0.0860074,pub,Food and Drinks
291747934,51.5190246,-0.0831631,post_office,Services
291753815,51.5198112,-0.0853164,pub,Food and Drinks
291753929,51.5174357,-0.0833132,pub,Food and Drinks
291754220,51.5189552,-0.0836417,pub,Food and Drinks
292705417,51.5102756,-0.0862062,pub,Food and Drinks
292705418,51.5107157,-0.0860166,pub,Food and Drinks
294874302,51.5116653,-0.0899837,pub,Food and Drinks
295975599,51.5147749,-0.0989569,pub,Food and Drinks
295975602,51.5126631,-0.084714,pub,Food and Drinks
295975604,51.5128086,-0.0842713,pub,Food and Drinks
295975606,51.5127202,-0.0793332,pub,Food and Drinks
295975610,51.5137136,-0.0757885,restaurant,Food and Drinks
295975928,51.513355,-0.0908549,restaurant,Food and Drinks
295979629,51.513604,-0.0737842,pub,Food and Drinks
295979630,51.5139021,-0.0746201,pub,Food and Drinks
296610104,51.5132649,-0.0925806,pub,Food and Drinks
296610112,51.5122519,-0.0928038,pub,Food and Drinks
296610125,51.5117645,-0.0929468,fast_food,Food and Drinks
296610128,51.5117911,-0.0931398,restaurant,Food and Drinks
296614811,51.5097312,-0.0802923,restaurant,Food and Drinks
296614817,51.5108903,-0.0808223,pub,Food and Drinks
296614820,51.5111253,-0.079329,restaurant,Food and Drinks
299521880,51.5176909,-0.0799927,police,Government
299521884,51.5183131,-0.0793378,bank,Services
302013654,51.516962,-0.0803573,pub,Food and Drinks
302820466,51.518667,-0.079255,college,Education
304872390,51.5163795,-0.0826453,pub,Food and Drinks
306135216,51.5164477,-0.0833714,fast_food,Food and Drinks
306135269,51.5163973,-0.0828757,bank,Services
306135270,51.5162901,-0.0821143,cafe,Food and Drinks
306135577,51.5148995,-0.0855383,pub,Food and Drinks
306439374,51.5176344,-0.0865794,pub,Food and Drinks
