id,lat,lon,amenity,type
1779504042,51.5182101,-0.0781576,hotel,Services
306680347,51.5130744,-0.1003656,hotel,Services
675734360,51.5121008,-0.0756938,hotel,Services
692162507,51.5127056,-0.0849374,hotel,Services
795788290,51.5105583,-0.0793762,hotel,Services
1109339085,51.5140478,-0.0854869,hotel,Services
2137260103,51.5128844,-0.1051893,hotel,Services
2294047321,51.5138157,-0.1089001,hotel,Services
2952883084,51.5095129,-0.0836298,hotel,Services
4062923527,51.5138704,-0.1011565,hotel,Services
4340748003,51.5093521,-0.0808189,hotel,Services
4579454593,51.510287,-0.0840234,hotel,Services
4599254833,51.511913,-0.0889527,hotel,Services
4684898311,51.5148516,-0.1087533,hotel,Services
4684899173,51.514388,-0.1091461,hotel,Services
4354554594,51.5176629,-0.1004708,museum,Entertainment
4513341393,51.5142989,-0.0882511,museum,Entertainment
