id,lat,lon,amenity,type
23988892,51.5129643,-0.0824257,bank,Services
35409660,51.5129567,-0.0919681,bank,Services
85478887,51.5153198,-0.0847529,bank,Services
142173274,51.5099659,-0.0822254,bank,Services
142300245,51.5140626,-0.1106642,bank,Services
142983951,51.510798,-0.0851257,bank,Services
148677449,51.5140186,-0.1063727,bank,Services
155421448,51.5117537,-0.0915972,bank,Services
155428071,51.5110972,-0.0885417,bank,Services
155428076,51.5109771,-0.0852208,bank,Services
155428080,51.5105958,-0.0855778,bank,Services
155434163,51.5135839,-0.0811302,bank,Services
156167653,51.5142549,-0.0920352,bank,Services
156167663,51.5135904,-0.0920773,bank,Services
156167669,51.5147089,-0.0919523,bank,Services
156720834,51.5108245,-0.0853054,bank,Services
156720857,51.5106035,-0.0851543,bank,Services
156778765,51.5155919,-0.0787918,bank,Services
159844951,51.5149955,-0.0899454,bank,Services
160093287,51.513686,-0.0925009,bank,Services
160093290,51.5137626,-0.0929161,bank,Services
160093296,51.5136837,-0.092492,bank,Services
160096669,51.5149228,-0.0893458,bank,Services
160096673,51.5150286,-0.0891929,bank,Services
160138923,51.5165547,-0.0885479,bank,Services
160138934,51.516746,-0.088617,bank,Services
161386036,51.5172512,-0.1076359,bank,Services
161420160,51.5137311,-0.1107496,bank,Services
161420167,51.5138834,-0.109771,bank,Services
161420187,51.5135305,-0.1118056,bank,Services
170525607,51.5162717,-0.1000768,bank,Services
170525611,51.5164197,-0.1013323,bank,Services
186577768,51.5203951,-0.0976377,bank,Services
220255009,51.5142923,-0.1041235,bank,Services
220272365,51.5143251,-0.1083294,bank,Services
220272369,51.514331,-0.1081087,bank,Services
220287049,51.514002,-0.1071268,bank,Services
258988669,51.5148901,-0.0890544,bank,Services
274709736,51.5134975,-0.0858485,bank,Services
357203565,51.5172361,-0.0891326,bank,Services
421386554,51.5179553,-0.1117889,bank,Services
142194849,51.5097715,-0.0790629,bar,Food and Drinks
155434155,51.5131335,-0.0794153,bar,Food and Drinks
155906194,51.5133898,-0.0765212,bar,Food and Drinks
156167679,51.5148381,-0.0917123,bar,Food and Drinks
156402689,51.5187545,-0.0929649,bar,Food and Drinks
156731564,51.5138333,-0.0786467,bar,Food and Drinks
156734415,51.5137582,-0.0788935,bar,Food and Drinks
159924468,51.5125995,-0.0936035,bar,Food and Drinks
159925738,51.5136838,-0.093224,bar,Food and Drinks
159925745,51.5133067,-0.0939601,bar,Food and Drinks
172664020,51.512433,-0.0974043,bar,Food and Drinks
309399252,51.5161502,-0.0833948,bar,Food and Drinks
314760755,51.5181402,-0.0781457,bar,Food and Drinks
466005405,51.5154652,-0.1037348,bar,Food and Drinks
468562255,51.5134056,-0.1019805,bar,Food and Drinks
471980170,51.5126957,-0.1082863,bar,Food and Drinks
387299322,51.5149429,-0.0798495,bar,Food and Drinks
23263836,51.5175862,-0.0829672,bus_station,Transportation
396014695,51.5180581,-0.0826747,bus_station,Transportation
142983956,51.510814,-0.084983,cafe,Food and Drinks
146986821,51.5185322,-0.1019236,cafe,Food and Drinks
146986826,51.5192018,-0.0998688,cafe,Food and Drinks
146989376,51.5194291,-0.0992511,cafe,Food and Drinks
147495158,51.517738,-0.1017359,cafe,Food and Drinks
