id,lat,lon,amenity,type
147495182,51.518068,-0.1018704,alcohol,Shopping
155430497,51.5133151,-0.0836855,bag,Shopping
142983954,51.5108259,-0.0847963,bakery,Shopping
36918240,51.5154748,-0.0785857,bookmaker,Shopping
146986824,51.5193299,-0.0994609,bookmaker,Shopping
155421461,51.5116804,-0.0912832,bookmaker,Shopping
155428069,51.511038,-0.0893535,bookmaker,Shopping
156720855,51.5096374,-0.0811424,bookmaker,Shopping
156731576,51.5129039,-0.0784361,bookmaker,Shopping
159922580,51.5131509,-0.0939581,bookmaker,Shopping
159922606,51.5130465,-0.0937667,butcher,Shopping
155428064,51.5106588,-0.0863171,chemist,Shopping
155428066,51.5116408,-0.0849941,chemist,Shopping
155906191,51.5134812,-0.0764626,chemist,Shopping
160093284,51.5141062,-0.0932632,chemist,Shopping
155428091,51.5115987,-0.0909657,clothes,Shopping
155430499,51.5124402,-0.0843953,clothes,Shopping
156720839,51.5102661,-0.0827888,clothes,Shopping
159924464,51.5132088,-0.0934637,clothes,Shopping
159924466,51.5132575,-0.0934338,clothes,Shopping
155421455,51.5116625,-0.0912088,convenience,Shopping
143405870,51.5110905,-0.0864806,department_store,Shopping
146986828,51.5190863,-0.1002229,dry_cleaning,Services
60890325,51.5126502,-0.1067474,hairdresser,Services
146989369,51.5193991,-0.0993303,hairdresser,Services
155421456,51.5116629,-0.0910011,hairdresser,Services
156778753,51.5153522,-0.0784235,hairdresser,Services
159922585,51.5130152,-0.0942787,hairdresser,Services
159922602,51.5128023,-0.0935387,hairdresser,Services
159924467,51.5131429,-0.0934778,hairdresser,Services
159924471,51.5131429,-0.0934778,hairdresser,Services
155430502,51.5125372,-0.0843736,hardware,Shopping
155430496,51.5127313,-0.0842844,healthfood,Shopping
159925744,51.5132035,-0.0937065,jewellery,Shopping
155428087,51.5105916,-0.0854819,locksmith,Services
60890322,51.5140584,-0.1055392,mobile_phone,Services
155421465,51.5118633,-0.0918734,mobile_phone,Services
156167670,51.5140062,-0.0927333,mobile_phone,Services
154411119,51.5170988,-0.0884565,optician,Health
156167656,51.514037,-0.0929037,optician,Health
155428079,51.5104784,-0.0864778,outdoor,Shopping
156167671,51.5140834,-0.0931318,perfume,Shopping
159922592,51.5130293,-0.0934584,shoes,Shopping
159922601,51.5131057,-0.0937219,shoes,Shopping
159925746,51.5134081,-0.0933581,shoes,Shopping
159925756,51.5133131,-0.093632,stationery,Shopping
