,id,lat,lon,amenity,type
21,475868738,51.5172127,-0.1049731,alcohol,Shopping
56,796929017,51.5127624,-0.0839805,alcohol,Shopping
79,1717011302,51.5172875,-0.1049956,alcohol,Shopping
124,2642857061,51.513822,-0.0871164,alcohol,Shopping
281,3794341944,51.5169401,-0.0802938,alcohol,Shopping
302,4404528131,51.5124609,-0.0827034,alcohol,Shopping
272,3748265231,51.5186943,-0.0876986,bag,Shopping
318,4548254491,51.5138296,-0.0754691,bag,Shopping
179,3239539398,51.5134667,-0.1003405,bakery,Shopping
277,3768818002,51.515444,-0.084192,bakery,Shopping
289,4223474120,51.5146333,-0.0867028,bakery,Shopping
96,1832666028,51.5179883,-0.1114589,beauty,Shopping
97,1832688357,51.5179814,-0.1135638,beauty,Shopping
120,2642857051,51.5136344,-0.0866048,beauty,Shopping
127,2642857074,51.5134244,-0.0872298,beauty,Shopping
140,2642895059,51.516955,-0.0877409,beauty,Shopping
181,3239698988,51.5151176,-0.0825237,beauty,Shopping
182,3272823593,51.5114237,-0.082916,beauty,Shopping
255,3702963812,51.5166918,-0.0835657,beauty,Shopping
259,3735862991,51.5181843,-0.0790769,beauty,Shopping
87,1763582361,51.5105894,-0.0927624,bicycle,Shopping
223,3455347503,51.5173272,-0.0973819,bicycle,Shopping
284,3970060997,51.5118538,-0.0838313,bicycle,Shopping
348,4718553525,51.5105662,-0.0801504,bicycle,Shopping
13,471488491,51.5118127,-0.0820271,bookmaker,Shopping
18,472754033,51.5147843,-0.0780473,bookmaker,Shopping
35,674956578,51.5113348,-0.0775963,bookmaker,Shopping
47,707377168,51.5137604,-0.0756409,bookmaker,Shopping
48,748073444,51.5137435,-0.1014909,bookmaker,Shopping
126,2642857072,51.5108433,-0.0870349,bookmaker,Shopping
158,3061215876,51.5120342,-0.0832762,bookmaker,Shopping
166,3152619077,51.5162658,-0.0819594,bookmaker,Shopping
167,3159182900,51.5185606,-0.0793144,bookmaker,Shopping
184,3272823595,51.5114237,-0.0825244,bookmaker,Shopping
204,3334177968,51.5163744,-0.0827675,bookmaker,Shopping
222,3397558294,51.513312,-0.0844418,bookmaker,Shopping
266,3735867877,51.5179341,-0.079674,bookmaker,Shopping
