id,lat,lon,amenity,type
4270739,51.5194993,-0.0956175,park,Other
4270744,51.5213423,-0.0962222,park,Other
4969746,51.5118455,-0.1095724,garden,Other
23105395,51.5178132,-0.0864543,park,Other
23992321,51.5184149,-0.1011278,park,Other
27919354,51.5177371,-0.0860082,garden,Other
29089421,51.5117977,-0.0953741,garden,Other
29089423,51.5130712,-0.0960123,garden,Other
29206501,51.5161801,-0.1098396,garden,Other
30313502,51.517422,-0.1070642,park,Other
30610284,51.5178465,-0.1070182,park,Other
34038680,51.5192243,-0.0917277,park,Other
34038686,51.5205095,-0.0953279,garden,Other
40498332,51.5131786,-0.1023972,park,Other
49775883,51.5175276,-0.0890339,park,Other
49780449,51.5130026,-0.0981341,park,Other
55421655,51.5099314,-0.0755602,park,Other
60206800,51.5134207,-0.099007,garden,Other
74156797,51.5134839,-0.1063144,park,Other
90784595,51.5136665,-0.097544,garden,Other
111348808,51.5112338,-0.1051038,garden,Other
111354106,51.5129836,-0.0978299,garden,Other
115675615,51.5155331,-0.0864728,park,Other
116405293,51.5160961,-0.0956316,park,Other
116405294,51.5163833,-0.0961138,park,Other
128200292,51.5117666,-0.1113238,garden,Other
128459713,51.5126444,-0.1106552,garden,Other
141671238,51.5121625,-0.0816559,garden,Other
156190533,51.5180629,-0.095004,garden,Other
156197590,51.5179568,-0.0925788,garden,Other
156197606,51.5180314,-0.0924781,garden,Other
161289922,51.5101155,-0.0887538,garden,Other
161358094,51.5120754,-0.0945704,garden,Other
161791790,51.510727,-0.0875535,garden,Other
164202180,51.5164288,-0.0931077,park,Other
164931473,51.5095922,-0.0893042,garden,Other
164931474,51.509422,-0.0893637,garden,Other
164931481,51.5090869,-0.0894926,park,Other
164931482,51.5092375,-0.0894369,garden,Other
167304112,51.5151787,-0.0832547,garden,Other
170205758,51.5168121,-0.0977372,park,Other
180558309,51.510267,-0.0790442,park,Other
192818348,51.5225406,-0.0964825,sports_centre,health
192909236,51.5228018,-0.0968842,park,Other
195546712,51.5226898,-0.0956146,park,Other
201846172,51.5175132,-0.096893,garden,Other
204000389,51.515942,-0.0769826,playground,Entertainment
218597792,51.5088044,-0.0864456,garden,Other
237519508,51.5096503,-0.0824668,park,Other
240129730,51.5158646,-0.0997373,garden,Other
240129732,,,garden,Other
247645538,,,garden,Other
256568923,,,garden,Other
256568924,,,garden,Other
256571942,,,garden,Other
256571943,,,garden,Other
274708132,,,garden,Other
274708812,,,garden,Other
287891926,,,garden,Other
288626825,,,garden,Other
289895503,,,garden,Other
293352948,,,garden,Other
295363861,,,garden,Other
295364619,,,garden,Other
295366497,,,garden,Other
302578481,,,garden,Other
303024673,,,garden,Other
309375490,,,garden,Other
312768996,,,garden,Other
312768998,,,garden,Other
315898003,,,garden,Other
315898004,,,garden,Other
317679674,,,garden,Other
317679677,,,garden,Other
317679679,,,garden,Other
317679681,,,garden,Other
318390944,,,sports_centre,Health
320247370,,,garden,Other
326053616,,,garden,Other
327242732,,,garden,Other
333576081,,,garden,Other
356671948,,,sports_centre,Health
357203210,,,garden,Other
357203755,,,garden,Other
366444255,,,garden,Other
376553754,,,garden,Other
419452548,,,garden,Other
419452550,,,garden,Other
419696196,,,garden,Other
424725976,,,garden,Other
442587480,,,garden,Other
444741871,,,garden,Other
444741872,,,garden,Other
444741873,,,garden,Other
457771757,,,garden,Other
468562259,,,garden,Other
470093550,,,garden,Other
485034272,,,garden,Other
490033582,,,garden,Other
490033584,,,garden,Other
490033585,,,garden,Other
