id,lat,lon,amenity,type
29390379,51.5122618,-0.1046417,hotel,Services
30806422,51.5173757,-0.081576,hotel,Services
32455185,51.5107326,-0.0764683,hotel,Services
43706245,51.5149096,-0.1081642,museum,Entertainment
82677869,51.5155995,-0.077336,hotel,Services
118722497,51.5132428,-0.1010222,hotel,Services
141393955,51.5109487,-0.0783423,hotel,Services
143426675,51.5127677,-0.0758632,hotel,Services
156172966,51.5155184,-0.0914123,museum,Entertainment
159646583,51.5136965,-0.0900747,hotel,Services
160140566,51.516,-0.088183,hotel,Services
161288702,51.5109748,-0.0892392,hotel,Services
161420186,51.5137253,-0.1109253,museum,Entertainment
161420212,51.5135946,-0.1103049,hotel,Services
168325260,51.5126698,-0.0752245,hotel,Services
172664019,51.5126807,-0.0997202,hotel,Services
225107436,51.5110227,-0.0735352,hotel,Services
274709746,51.5139532,-0.0853631,hotel,Services
435775218,51.5105757,-0.0773292,hotel,Services
