id,lat,lon,amenity,type
108042,51.5235442,-0.1355991,pub,Food and Drinks
108539,51.5291251,-0.0933878,bicycle_rental,Services
283885,51.4949874,0.0155375,park,Other
451152,51.6008404,-0.1946078,pub,Food and Drinks
451153,51.6020306,-0.1935029,restaurant,Food and Drinks
451154,51.5995863,-0.1960052,pub,Food and Drinks
451156,51.5996316,-0.197601,place_of_worship,Other
451271,51.6141038,-0.1765046,pub,Food and Drinks
469648,51.6323613,-0.2002582,place_of_worship,Other
699763,51.5050712,-0.2164171,place_of_worship,Other
2838058,51.6647854,-0.0909083,park,Other
2903046,51.6672305,-0.0786957,park,Other
2903368,51.6625095,-0.0861302,park,Other
2903369,51.6612673,-0.081628,park,Other
2903398,51.6487967,-0.0681805,park,Other
2914274,51.5974717,-0.1938597,park,Other
2926821,51.6412092,-0.1205715,park,Other
2939009,51.6492745,-0.0863456,park,Other
2939140,51.6526132,-0.1702798,park,Other
2953350,51.5956972,-0.2294052,park,Other
2954253,51.6384289,-0.1537009,park,Other
2955990,51.6268709,-0.1823357,park,Other
2956081,51.4367288,-0.0207837,parking,Transportation
2956125,51.4344718,-0.0063073,park,Other
2956183,51.4455933,-0.0221666,parking,Transportation
2956184,51.4444599,-0.0182316,parking,Transportation
2956185,51.4483696,-0.0187379,parking,Transportation
2956473,51.4578397,-0.0058934,parking,Transportation
2956783,51.4531221,-0.0132006,park,Other
3042477,51.4230922,-0.022383,parking,Transportation
3178749,51.5158996,-0.1734133,park,Other
3241371,51.5216943,-0.126069,park,Other
3241840,51.5250414,-0.1290244,park,Other
3385169,51.4507877,-0.4111599,park,Other
3400436,51.6187503,-0.1624319,park,Other
3401837,51.4208938,-0.3848714,park,Other
3430579,51.4209803,-0.3676262,park,Other
3541789,51.4083777,-0.3460669,parking,Transportation
3541791,51.4069397,-0.3432559,park,Other
3595906,51.4534389,-0.215437,park,Other
3664747,51.6535159,-0.0418287,park,Other
3667185,51.4623149,-0.2041321,park,Other
3678121,51.4558684,-0.2292115,garden,Other
3687942,51.4572048,-0.2362618,park,Other
3690582,51.4564215,-0.2360933,park,Other
3690586,51.4580817,-0.2359579,park,Other
3690598,51.4614956,-0.236126,park,Other
3725111,51.6612273,-0.0903342,park,Other
3787238,51.4826614,-0.232504,garden,Other
3787243,51.4761971,-0.2337354,parking,Transportation
3810263,51.6464607,-0.0880884,golf_course,Other
3810529,51.6531203,-0.1316881,golf_course,Other
3810598,51.6501383,-0.102808,golf_course,Other
3819393,51.6620027,-0.1627635,golf_course,Other
3848339,51.6652684,-0.2051325,golf_course,Other
3848623,51.6807448,-0.1098606,golf_course,Other
3872808,51.6186112,-0.1175749,park,Other
3981200,51.4542989,-0.0103816,parking,Transportation
3986346,51.5066212,-0.1802006,park,Other
3988895,51.5890338,-0.2302829,park,Other
3989907,51.4115932,-0.3334354,parking,Transportation
3990234,51.5769098,-0.2721308,park,Other
3991492,51.4019135,-0.3373764,garden,Other
3991615,51.4014212,-0.3238904,park,Other
3996051,51.4428697,-0.2377055,park,Other
4003386,51.6098152,-0.201064,golf_course,Other
4003394,51.6051226,-0.1693405,park,Other
4003415,51.6084298,-0.1571474,park,Other
4005250,51.4333899,-0.2773623,garden,Other
4005881,51.4782201,-0.2985545,garden,Other
4006015,51.4671036,-0.3067562,park,Other
4013115,51.6362339,-0.1904612,golf_course,Other
4013452,51.6135884,-0.2307682,park,Other
4020542,51.5546149,-0.1976074,park,Other
4020620,51.5564354,-0.3404459,park,Other
4038654,51.4441443,0.0058917,parking,Transportation
4040566,51.5811616,-0.2216715,park,Other
4040975,51.5570285,-0.3517082,park,Other
4045176,51.5579185,-0.2353059,park,Other
4045840,51.4311124,-0.0244032,park,Other
4045841,51.4308823,-0.019997,park,Other
4045842,51.4474127,-0.0093199,park,Other
4049350,51.503957,-0.3121464,park,Other
4055100,51.5571324,-0.3427115,parking,Transportation
4068461,51.5537993,-0.3486557,school,Education
4072806,51.5361349,-0.2107656,park,Other
4074720,51.4235384,0.0162217,park,Other
4075108,51.5169949,-0.1144425,park,Other
4075111,51.5157082,-0.1135975,garden,Other
4075880,51.427407,-0.0136267,parking,Transportation
4075882,51.4266169,-0.0129227,parking,Transportation
4075884,51.4277294,-0.0127932,parking,Transportation
4075898,51.4285102,-0.0137888,parking,Transportation
4075901,51.4304008,-0.0145608,parking,Transportation
4075902,51.4307663,-0.0145205,police,Government
4076569,51.4321965,-0.0205054,parking,Transportation
4076575,51.4363965,-0.0196703,parking,Transportation
4076578,51.4355623,-0.0186404,parking,Transportation
4076582,51.4321976,-0.0196369,sports_centre,Health
4076609,51.4421488,-0.0246212,parking,Transportation
4076614,51.442026,-0.0238951,park,Other
4076629,51.4428094,-0.0257515,parking,Transportation
4076630,51.4437951,-0.0255884,parking,Transportation
4076656,51.4301193,-0.033372,supermarket,Shopping
4076660,51.428834,-0.0331753,fuel,Services
4076661,51.4293357,-0.0329795,parking,Transportation
4076662,51.4291276,-0.034669,parking,Transportation
4076663,51.4301751,-0.0350529,parking,Transportation
4076730,51.6194169,-0.1537915,park,Other
4078565,51.6324792,-0.0342758,golf_course,Other
4078566,51.6155618,-0.0575251,park,Other
4078567,51.617643,-0.0696768,park,Other
4078593,51.6365043,-0.0683104,park,Other
4080097,51.6221387,-0.1690753,golf_course,Other
4080125,51.6211753,-0.1564577,golf_course,Other
4081035,51.5233147,-0.1464732,park,Other
4081036,51.5243613,-0.1468677,park,Other
4081049,51.5115067,-0.1513923,park,Other
4082479,51.3779922,-0.1543318,parking,Transportation
4082666,51.5390783,-0.1612944,park,Other
4085758,51.3564957,-0.1633703,park,Other
4089846,51.5091762,-0.3387294,parking,Transportation
4089847,51.5082091,-0.3354048,parking,Transportation
4090217,51.5548652,-0.344138,parking,Transportation
4090239,51.5677187,-0.3458372,park,Other
4090241,51.5743807,-0.3413452,park,Other
4097473,51.585126,-0.1065121,park,Other
4097475,51.5860472,-0.1053599,school,Education
4097476,51.57025,-0.1010473,park,Other
4111166,51.4382351,-0.2057351,park,Other
4112006,51.4390373,-0.2049597,parking,Transportation
4112798,51.4492099,-0.194423,park,Other
4116247,51.6611855,-0.1908209,park,Other
4132124,51.5403024,-0.2189531,school,Education
4133074,51.6587538,-0.0751061,park,Other
4134680,51.6551488,-0.0890539,park,Other
4159433,51.6334751,-0.1479425,park,Other
4179926,51.6026935,-0.2163105,golf_course,Other
4180556,51.6436435,-0.1429118,park,Other
4188297,51.6539628,-0.158047,park,Other
4189704,51.6047803,-0.1388938,golf_course,Other
4194174,51.6704626,-0.0571895,park,Other
4208547,51.4510691,-0.0215668,track,Health
4211785,51.5801881,-0.0897118,hospital,Health
4227933,51.4608398,-0.1970139,parking,Transportation
4229534,51.5399613,-0.2339545,school,Education
4234606,51.5820636,-0.1146247,school,Education
4234648,51.5793673,-0.1121382,park,Other
4234649,51.5805627,-0.1129328,school,Education
4239295,51.5365479,-0.0454601,school,Education
4239815,51.4735094,-0.19946,park,Other
4240417,51.4602958,-0.1719526,park,Other
4240903,51.5571019,-0.3607699,parking,Transportation
4241210,51.5503233,-0.3657529,parking,Transportation
4241211,51.5551607,-0.3755584,parking,Transportation
4241223,51.5543433,-0.3652327,parking,Transportation
4242918,51.538513,-0.2259807,park,Other
4242930,51.5413001,-0.2401778,park,Other
4243023,51.546775,-0.2255269,supermarket,Shopping
4243024,51.5469384,-0.2265887,parking,Transportation
4244828,51.5103035,-0.2283326,park,Other
4244829,51.5042417,-0.2219532,park,Other
4245003,51.4877473,-0.416073,park,Other
4248571,51.6077023,-0.319155,golf_course,Other
4248612,51.570589,-0.3026914,park,Other
4250453,51.545182,-0.3150926,golf_course,Other
4250571,51.5302417,-0.3171381,golf_course,Other
4251163,51.5101533,-0.2939767,park,Other
4251186,51.5090619,-0.3096539,park,Other
4251190,51.510187,-0.3203822,park,Other
