,id,lat,lon,amenity,classification,tags
0,108042,51.5235442,-0.1355991,pub,,"{u'addr:housenumber': u'31', u'toilets': u'yes', u'amenity': u'pub', u'name': u'Simmons Bar', u'opening_hours': u'Mo-We 15:00-23:30; Th,Fr 12:00-24:00; Su 15:00-23:30', u'wheelchair': u'limited', u'randomjunk_bot': u'reverted edit by FilipeOliveira on 2008-11-24T15:02:32+00:00', u'website': u'http://www.simmonsbar.co.uk/euston-square/4593769006', u'toilets:access': u'customers', u'phone': u'020 7387 3033', u'postal_code': u'WC1E 6JL', u'old_name': u'The Jeremy Bentham', u'toilets:wheelchair': u'no', u'addr:street': u'University Street'}"
1,108539,51.5291251,-0.0933878,bicycle_rental,,"{u'amenity': u'bicycle_rental', u'capacity': u'24', u'name': u'Windsor Terrace', u'network': u'tfl_cycle_hire'}"
2,109575,51.5282624,-0.1431214,advice,,"{u'amenity': u'advice', u'name': u'Citizens advice bureau'}"
3,451152,51.6008404,-0.1946078,pub,,"{u'addr:housenumber': u'363', u'real_ale': u'3', u'amenity': u'pub', u'addr:city': u'London', u'toilets': u'yes', u'food': u'yes', u'addr:postcode': u'N3 1DH', u'name': u'The Dignity', u'toilets:access': u'customers', u'addr:street': u'Regents Park Road'}"
4,451153,51.6020306,-0.1935029,restaurant,,"{u'amenity': u'restaurant', u'name': u'Central Restaurant'}"
5,451154,51.5995863,-0.1960052,pub,,"{u'addr:housenumber': u'319', u'real_ale': u'3', u'amenity': u'pub', u'name': u'The Catcher in the Rye', u'food': u'yes', u'addr:street': u'Regents Park Road'}"
6,451156,51.5996316,-0.197601,place_of_worship,,"{u'religion': u'christian', u'amenity': u'place_of_worship', u'name': u'St Mary at Finchley', u'created_by': u'Potlatch alpha', u'denomination': u'anglican'}"
7,451271,51.6141038,-0.1765046,pub,,"{u'addr:housenumber': u'749', u'website': u'http://www.jdwetherspoon.co.uk/home/pubs/the-tally-ho', u'amenity': u'pub', u'addr:city': u'London', u'operator': u'JD Wetherspoon', u'addr:street': u'High Road', u'name': u'The Tally Ho'}"
8,469648,51.6323613,-0.2002582,place_of_worship,,"{u'religion': u'christian', u'amenity': u'place_of_worship', u'name': u""St Andrew's"", u'created_by': u'Potlatch 0.9c', u'denomination': u'anglican'}"
9,699763,51.5050712,-0.2164171,place_of_worship,,"{u'religion': u'christian', u'amenity': u'place_of_worship', u'created_by': u'Potlatch 0.10'}"
10,10806290,51.3509907,-0.1616453,place_of_worship,,"{u'religion': u'christian', u'amenity': u'place_of_worship', u'name': u'Stanley Park Church', u'created_by': u'JOSM', u'denomination': u'evangelical'}"
11,12185812,51.4888225,-0.3884515,parking,,"{u'amenity': u'parking', u'name': u'Heston Services Eastbound', u'created_by': u'Potlatch 0.4a'}"
12,12242503,51.5920158,0.0279621,pub,,"{u'toilets:access': u'customers', u'real_ale': u'yes', u'amenity': u'pub', u'name': u'Railway Bell', u'toilets': u'yes'}"
13,12243302,51.5759872,0.0282186,pub,,"{u'real_ale': u'yes', u'amenity': u'pub', u'addr:city': u'London', u'name': u'The George', u'food': u'yes', u'addr:postcode': u'E11 2RL', u'wheelchair': u'yes', u'fhrs:id': u'443368', u'fhrs:authority': u'Redbridge', u'operator': u'Wetherspoons', u'source:addr': u'FHRS Open Data', u'fhrs:local_authority_id': u'155360', u'addr:street': u'High Street'}"
14,12245485,51.58312,0.020594,pub,,"{u'addr:housenumber': u'73', u'cuisine': u'british', u'amenity': u'pub', u'name': u'The Eagle, Toby Carvery', u'real_ale': u'yes', u'food': u'yes', u'toilets:access': u'customers', u'postal_code': u'E11 1PE', u'toilets': u'yes', u'addr:street': u'Hollybush Hill'}"
15,13799212,51.5210789,-0.1156316,library,,"{u'amenity': u'library', u'name': u'Holborn Library'}"
16,13833379,51.4397645,-0.0016191,post_office,,"{u'amenity': u'post_office', u'created_by': u'JOSM'}"
17,13878265,51.444626,-0.0206975,library,,"{u'website': u'http://www.lewisham.gov.uk/myservices/libraries/branches/Pages/Catford-Library.aspx', u'opening_hours': u'Mo,Mo-Fr,Fr 08:30-17:00; Tu,Th 08:30-19:00; Sa 09:00-17:00; Su off', u'amenity': u'library', u'name': u'Catford Library', u'wheelchair': u'yes'}"
18,13878266,51.4447462,-0.0197271,post_office,,"{u'opening_hours': u'Mo-Sa 09:00-17:30', u'amenity': u'post_office', u'name': u'Catford Post Office'}"
19,15262028,51.5163946,-0.1697626,pub,,"{u'addr:housenumber': u'30', u'toilets': u'yes', u'amenity': u'pub', u'name': u'The Monkey Puzzle', u'food': u'yes', u'addr:postcode': u'W2 1JQ', u'wheelchair': u'limited', u'ale': u'yes', u'website': u'http://themonkeypuzzlepub.co.uk', u'toilets:access': u'customers', u'phone': u'+44 20 7723 0143', u'opening_hours': u'Mo-Su 11:00-23:00', u'operator': u'Hall & Woodhouse', u'email': u'gary@themonkeypuzzlepub.co.uk', u'addr:street': u'Southwick Street'}"
20,15415851,51.5380645,-0.1495939,public_building,,"{u'amenity': u'public_building', u'name': u'Cecil Sharp House'}"
21,16602396,51.450011,-0.4174507,fuel,,{u'amenity': u'fuel'}
22,16602730,51.4507141,-0.4208368,place_of_worship,,"{u'religion': u'christian', u'amenity': u'place_of_worship', u'name': u'Calvary Free Grace Baptist Church', u'denomination': u'baptist'}"
23,16602745,51.4508337,-0.4211662,place_of_worship,,"{u'religion': u'christian', u'amenity': u'place_of_worship', u'name': u'Southville Methodist Church', u'denomination': u'methodist'}"
24,17345465,51.6518778,-0.0645932,parking,,{u'amenity': u'parking'}
25,17806374,51.4492207,-0.2371211,place_of_worship,,"{u'religion': u'christian', u'amenity': u'place_of_worship', u'source:name': u'photograph', u'name': u'Holy Trinity', u'denomination': u'anglican'}"
26,17806375,51.453407,-0.221599,pub,,"{u'website': u'http://www.greenmanputney.co.uk/', u'toilets': u'yes', u'amenity': u'pub', u'name': u'Green Man', u'addr:postcode': u'SW15 3NG', u'addr:housename': u'The Green Man', u'fhrs:id': u'297650', u'toilets:access': u'customers', u'opening_hours': u'Mo-Th 11:00-23:00; Fr, Sa 11:00-24:00; Su 12:00-22:30', u'operator': u""Young's"", u'source:addr': u'FHRS Open Data', u'addr:street': u'Putney Heath'}"
27,17978996,51.574614,-0.3355776,parking,,"{u'amenity': u'parking', u'wheelchair': u'limited'}"
28,18235090,51.4628591,-0.2266975,pub,,"{u'addr:housenumber': u'289', u'amenity': u'pub', u'name': u'The Arab Boy', u'addr:postcode': u'SW15 6SP', u'fhrs:id': u'297470', u'operator': u'Greene King', u'source:addr': u'FHRS Open Data', u'addr:street': u'Upper Richmond Road'}"
29,18301609,51.4671595,-0.2287694,place_of_worship,,"{u'religion': u'christian', u'amenity': u'place_of_worship', u'source:name': u'photograph', u'name': u'All Saints Church, Putney Common', u'denomination': u'anglican'}"
30,20599885,51.5302738,-0.117551,disused_pub,,"{u'amenity': u'disused_pub', u'name': u'Golden Lion'}"
31,20694455,51.4660992,0.0098864,post_office,,{u'amenity': u'post_office'}
32,20821133,51.5003932,-0.1777114,pub,,"{u'amenity': u'pub', u'name': u'The Union Bar'}"
33,20849687,51.4111705,-0.3339165,cafe,,"{u'note': u'is a trailer parked there, serving tea, sandwiches, ice-cream etc.', u'operator': u'ECSI Limited', u'amenity': u'cafe'}"
