,id,lat,lon,amenity,classification,tags
0,283885,51.4949874,0.0155375,park,,"{u'name': u'Ecology Park', u'leisure': u'park'}"
1,16365720,51.4579357,-0.3097274,slipway,,{u'leisure': u'slipway'}
2,20851184,51.4044344,-0.3362247,pitch,,"{u'website': u'http://www.royaltenniscourt.com/', u'name': u'The Royal Tennis Court', u'wikipedia': u'en:Royal Tennis Court, Hampton Court', u'leisure': u'pitch', u'name:ru': u'\u0420\u0435\u0430\u043b-\u0442\u0435\u043d\u043d\u0438\u0441', u'sport': u'real_tennis'}"
3,26508073,51.5291368,-0.1058229,park,,"{u'leisure': u'park', u'created_by': u'YahooApplet 1.0'}"
4,26508076,51.5287597,-0.1067992,garden,,"{u'access': u'private', u'leisure': u'garden'}"
5,26545058,51.4003707,-0.1628676,sports_centre,,"{u'name': u'Canons Leisure Centre', u'leisure': u'sports_centre'}"
6,29144685,51.6491438,-0.08668,park,,"{u'name': u'Enfield Town Park', u'leisure': u'park'}"
7,29714490,51.462614,-0.0791826,playground,,"{u'leisure': u'playground', u'created_by': u'Potlatch 0.4b'}"
8,29714491,51.4630978,-0.0787634,playground,,{u'leisure': u'playground'}
9,30430986,51.4486414,-0.3059051,slipway,,"{u'leisure': u'slipway', u'created_by': u'JOSM'}"
10,30442275,51.4784188,-0.3007569,garden,,"{u'name': u'Bamboo Garden', u'leisure': u'garden'}"
11,30692909,51.483015,-0.2796052,nature_reserve,,"{u'name': u'Snail Reserve', u'leisure': u'nature_reserve'}"
12,32450930,51.4415513,0.1075507,park,,{u'leisure': u'park'}
13,32456943,51.6340047,-0.1139625,park,,"{u'wikipedia': u'en:Grovelands Park', u'leisure': u'park', u'created_by': u'JOSM', u'name': u'Grovelands Park'}"
14,35179905,51.5369346,-0.2109189,bandstand,,"{u'leisure': u'bandstand', u'created_by': u'Potlatch 0.4a'}"
15,52755497,51.5416942,-0.0732509,playground,,"{u'leisure': u'playground', u'created_by': u'JOSM'}"
16,52787118,51.5422368,-0.071346,sports_centre,,"{u'leisure': u'sports_centre', u'created_by': u'JOSM', u'name': u'Queensbridge Sports & Community Centre'}"
17,55549089,51.6004543,-0.086952,park,,{u'leisure': u'park'}
18,89125613,51.574126,-0.2484198,park,,{u'leisure': u'park'}
19,89484781,51.362973,-0.0869613,sports_centre,,"{u'name': u'South Croydon Sports Club', u'leisure': u'sports_centre'}"
20,114308122,51.5647154,-0.1240496,playground,,"{u'leisure': u'playground', u'created_by': u'JOSM'}"
21,130159100,51.4179782,-0.1741587,garden,,"{u'name': u'memorial garden', u'leisure': u'garden'}"
22,130223626,51.4141736,-0.1802204,sports_centre,,"{u'name': u'Virgin Active', u'leisure': u'sports_centre'}"
23,130224287,51.4224474,-0.1843554,sports_centre,,"{u'sport': u'multi', u'name': u'Virgin Active', u'leisure': u'sports_centre'}"
24,132565484,51.4155623,-0.1730821,nature_reserve,,"{u'leisure': u'nature_reserve', u'created_by': u'Potlatch 0.5d', u'name': u'Myrna Close Nature Reserve'}"
25,206144536,51.4147861,-0.363824,stadium,,"{u'name': u'Hampton and Richmond Borough Football Club', u'addr:postcode': u'TW12 2BX', u'leisure': u'stadium', u'fhrs:id': u'352939', u'old_name': u'Hampton Football Club', u'sport': u'soccer', u'addr:street': u'Station Road'}"
26,207110707,51.4825004,-0.2892762,garden,,"{u'website': u'http://www.kew.org/visit-kew-gardens/explore/attractions/grass-garden', u'name': u'Grass Garden', u'leisure': u'garden'}"
27,207110829,51.4826165,-0.2910387,garden,,"{u'name': u'Secluded Garden', u'leisure': u'garden'}"
28,207111044,51.4811186,-0.2893721,garden,,"{u'name': u'Order Beds', u'leisure': u'garden'}"
29,207111138,51.4828628,-0.2890616,garden,,"{u'name': u""The Duke's Garden"", u'leisure': u'garden'}"
30,207113336,51.4841235,-0.2953009,garden,,"{u'name': u""The Queen's Garden"", u'leisure': u'garden'}"
31,207126970,51.4831029,-0.2898185,garden,,"{u'access': u'private', u'name': u""The Director's Garden"", u'leisure': u'garden'}"
32,207137399,51.4815485,-0.2898856,garden,,"{u'name': u'Rock Garden', u'leisure': u'garden'}"
33,207138240,51.4803829,-0.2898038,garden,,"{u'name': u'Woodland Garden', u'leisure': u'garden'}"
34,207139285,51.4790025,-0.2975504,garden,,"{u'name': u'Azalea Garden', u'leisure': u'garden'}"
35,207141757,51.4768294,-0.2952823,garden,,"{u'name': u'Mediterranean Garden', u'leisure': u'garden'}"
36,207141983,51.4788768,-0.2935425,garden,,"{u'name': u'Rose Garden', u'leisure': u'garden'}"
37,207264486,51.4807692,-0.2940522,garden,,"{u'name': u'Seven Sisters', u'leisure': u'garden'}"
38,207272295,51.4732329,-0.3046692,garden,,"{u'loc_name': u'Conservation Area', u'name': u""Queen's Cottage Grounds"", u'leisure': u'garden'}"
39,207337355,51.4821434,-0.2959614,playground,,"{u'name': u'Treehouse Towers', u'leisure': u'playground'}"
40,207513563,51.5066413,-0.1688741,garden,,"{u'name': u'The Cockpit', u'leisure': u'garden'}"
