,id,lat,lon,amenity,classification,tags
0,2534762,51.3553314,-0.142587,pitch,,"{u'sport': u'cricket', u'leisure': u'pitch', u'created_by': u'JOSM'}"
1,2838058,51.6647854,-0.0909083,park,,{u'leisure': u'park'}
2,2903046,51.6672305,-0.0786957,park,,{u'leisure': u'park'}
3,2903368,51.6625095,-0.0861302,park,,{u'leisure': u'park'}
4,2903369,51.6612673,-0.081628,park,,"{u'leisure': u'park', u'created_by': u'Potlatch alpha'}"
5,2903398,51.6487967,-0.0681805,park,,"{u'name': u'Bush Hill Park', u'leisure': u'park'}"
6,2914274,51.5974717,-0.1938597,park,,"{u'wikipedia': u'en:Avenue House Grounds', u'name': u'Avenue House Grounds', u'leisure': u'park'}"
7,2926821,51.6412092,-0.1205715,park,,"{u'name': u'Oakwood Park', u'leisure': u'park'}"
8,2939009,51.6492745,-0.0863456,park,,{u'leisure': u'park'}
9,2939140,51.6526132,-0.1702798,park,,"{u'name': u'Victoria Park', u'leisure': u'park'}"
10,2953350,51.5956972,-0.2294052,park,,"{u'wikipedia': u'en:Sunny Hill Park', u'alt_name': u'Sunny Hill Park', u'leisure': u'park', u'name': u'Sunnyhill Park'}"
11,2954253,51.6384289,-0.1537009,park,,"{u'alt_name': u'Oakhill Park', u'leisure': u'park', u'name': u'Oak Hill Park'}"
12,2955990,51.6268709,-0.1823357,park,,"{u'name': u'Whetstone Stray', u'leisure': u'park'}"
13,2956123,51.4358835,-0.0080297,pitch,,"{u'sport': u'bowls', u'name': u'Bowling Club', u'leisure': u'pitch'}"
14,2956125,51.4344718,-0.0063073,park,,"{u'leisure': u'park', u'created_by': u'JOSM'}"
15,2956783,51.4531221,-0.0132006,park,,{u'leisure': u'park'}
16,3178749,51.5158996,-0.1734133,park,,"{u'source:name': u'survey', u'name': u'Norfolk Square Garden', u'leisure': u'park'}"
17,3241371,51.5216943,-0.126069,park,,"{u'name': u'Russell Square', u'barrier': u'fence', u'wikipedia': u'en:Russell Square', u'leisure': u'park', u'GBV': u'Active', u'wikimedia_commons': u'Category:Russell_Square_Gardens'}"
18,3241840,51.5250414,-0.1290244,park,,"{u'name': u'Tavistock Square', u'barrier': u'fence', u'opening_hours': u'07:30-sunset', u'wikipedia': u'en:Tavistock Square', u'leisure': u'park', u'access': u'permissive', u'source': u'Survey of 2014-10-05'}"
19,3322449,51.4682574,-0.3204209,nature_reserve,,"{u'source': u'PGS + Yahoo', u'place': u'island', u'name': u'Isleworth Ait', u'leisure': u'nature_reserve'}"
