,id,center,lat,lon,amenity,classification,tags
0,4076656,"{u'lat': 51.4301193, u'lon': -0.033372}",51.4301193,-0.033372,supermarket,,"{u'building': u'supermarket', u'shop': u'supermarket', u'name': u""Sainsbury's"", u'designation': u'Sydenham Superstore', u'addr:postcode': u'SE26 4PU', u'wheelchair': u'yes', u'addr:street': u'Southend Lane'}"
1,4243023,"{u'lat': 51.546775, u'lon': -0.2255269}",51.546775,-0.2255269,supermarket,,"{u'building': u'yes', u'shop': u'supermarket', u'name': u""Sainsbury's"", u'addr:postcode': u'NW10 2TD', u'source': u'Bing', u'landuse': u'retail', u'addr:street': u'High Road'}"
2,4338882,"{u'lat': 51.6314179, u'lon': -0.1757948}",51.6314179,-0.1757948,supermarket,,"{u'addr:housenumber': u'1305', u'building': u'supermarket', u'addr:city': u'London', u'shop': u'supermarket', u'addr:postcode': u'N20 9HX', u'opening_hours': u'Mo-Sa 08:00-20:30; Su 11:00-17:00', u'addr:street': u'High Road', u'name': u'Waitrose'}"
3,4338883,"{u'lat': 51.6347684, u'lon': -0.175799}",51.6347684,-0.175799,supermarket,,"{u'addr:housenumber': u'1430', u'building': u'shop', u'addr:city': u'London', u'shop': u'supermarket', u'addr:postcode': u'N20 9DR', u'name': u'M&S', u'alt_name': u'M&S Whetstone Simply Food', u'opening_hours': u'Mo-Sa 08:00-21:00; Su 11:00-17:00', u'addr:street': u'High Road'}"
4,4356985,"{u'lat': 51.4941862, u'lon': -0.0997178}",51.4941862,-0.0997178,mall,,"{u'building': u'yes', u'shop': u'mall', u'name': u'Elephant and Castle Shopping Centre'}"
5,4425413,"{u'lat': 51.5742634, u'lon': -0.2147849}",51.5742634,-0.2147849,supermarket,,"{u'shop': u'supermarket', u'landuse': u'retail', u'name': u'Tesco'}"
6,4425414,"{u'lat': 51.5747102, u'lon': -0.218849}",51.5747102,-0.218849,toys,,"{u'shop': u'toys', u'landuse': u'retail', u'name': u'Toys-R-Us'}"
7,4770293,"{u'lat': 51.4155913, u'lon': -0.303206}",51.4155913,-0.303206,supermarket,,"{u'addr:housenumber': u'1', u'building': u'yes', u'name': u""Sainsbury's"", u'shop': u'supermarket', u'addr:postcode': u'KT2 5NZ', u'alt_name': u""Sainsbury's Sury Basin Superstore"", u'addr:street': u'Sury Basin'}"
8,4842399,"{u'lat': 51.4677232, u'lon': -0.3635597}",51.4677232,-0.3635597,mall,,"{u'building': u'yes', u'shop': u'mall', u'landuse': u'retail', u'name': u'Treaty Centre'}"
9,4945244,"{u'lat': 51.4196874, u'lon': -0.1292424}",51.4196874,-0.1292424,supermarket,,"{u'addr:housenumber': u'480-496', u'building': u'retail', u'fhrs:inspectiondate': u'2011-01-08', u'designation': u'Streatham Common Superstore', u'addr:postcode': u'SW16 3PY', u'fhrs:id': u'484534', u'shop': u'supermarket', u'fhrs:rating': u'5', u'fhrs:authority': u'Lambeth', u'alt_name': u""Sainsbury's Streatham Common Superstore"", u'name': u""Sainsbury's"", u'addr:street': u'Streatham High Road'}"
10,4976041,"{u'lat': 51.4598331, u'lon': -0.1196531}",51.4598331,-0.1196531,supermarket,,"{u'addr:housenumber': u'13', u'building': u'yes', u'addr:city': u'London', u'fhrs:inspectiondate': u'2011-05-09', u'addr:postcode': u'SW2 5RS', u'wheelchair': u'yes', u'fhrs:id': u'482932', u'shop': u'supermarket', u'fhrs:rating': u'3', u'fhrs:authority': u'Lambeth', u'branch': u'Brixton Superstore', u'opening_hours': u'Mo-Sa 06:00-23:00; Su 11:00-17:00', u'postal_code': u'SW2 5RS', u'name': u'Tesco', u'addr:street': u'Acre Lane'}"
11,4976051,"{u'lat': 51.4578784, u'lon': -0.1135229}",51.4578784,-0.1135229,electronics,,"{u'building': u'yes', u'shop': u'electronics', u'wheelchair': u'yes', u'name': u'Currys'}"
12,4976052,"{u'lat': 51.458296, u'lon': -0.1137283}",51.458296,-0.1137283,bicycle,,"{u'building': u'yes', u'shop': u'bicycle', u'wheelchair': u'yes', u'name': u'Halfords'}"
13,4982146,"{u'lat': 51.4833243, u'lon': -0.1289885}",51.4833243,-0.1289885,florist,,"{u'building': u'yes', u'shop': u'florist', u'name': u'New Covent Garden Market (Flower)', u'addr:postcode': u'SW8 5BH', u'addr:housename': u'New Covent Garden Market', u'source': u'Bing'}"
14,4985325,"{u'lat': 51.5771948, u'lon': -0.0955428}",51.5771948,-0.0955428,supermarket,,"{u'building': u'yes', u'shop': u'supermarket', u'name': u""Sainsbury's""}"
15,4993543,"{u'lat': 51.6509642, u'lon': -0.076743}",51.6509642,-0.076743,supermarket,,"{u'building': u'yes', u'shop': u'supermarket', u'name': u'Tesco', u'addr:postcode': u'EN1 1RT', u'alt_name': u'Tesco Enfield Southbury Road Superstore', u'addr:street': u'Savoy Parade, Southbury Road'}"
16,4996178,"{u'lat': 51.4927326, u'lon': -0.2018839}",51.4927326,-0.2018839,supermarket,,"{u'building': u'yes', u'shop': u'supermarket', u'addr:city': u'London', u'addr:postcode': u'W14 8PB', u'name': u'Tesco', u'alt_name': u'tesco Kensington Superstore', u'landuse': u'retail', u'addr:street': u'West Cromwell Road'}"
17,4996714,"{u'lat': 51.454399, u'lon': -0.1917046}",51.454399,-0.1917046,supermarket,,"{u'addr:housenumber': u'45', u'building': u'yes', u'addr:city': u'London', u'name': u""Sainsbury's"", u'addr:postcode': u'SW18 4AD', u'fhrs:id': u'296480', u'website': u'http://www.sainsburys.co.uk/sol/storelocator/storelocator_detail_view.jsp?storeId=69&bmForm=store_details', u'shop': u'supermarket', u'alt_name': u""Sainsbury's Wandsworth Superstore"", u'addr:street': u'Garratt Lane'}"
