,id,lat,lon,amenity,classification,tags
0,4082589,51.5104205,-0.1301183,attraction,,"{u'wikipedia': u'en:Leicester Square#Gardens', u'tourism': u'attraction', u'name': u'Leicester Square', u'leisure': u'park'}"
1,4255486,51.5602324,-0.166046,attraction,,"{u'natural': u'water', u'name': u'Hampstead Mixed Bathing Pond', u'leisure': u'swimming', u'water': u'pond', u'sport': u'swimming', u'tourism': u'attraction'}"
2,4256244,51.5237916,-0.1249597,hotel,,"{u'building': u'yes', u'source:addr': u'FHRS Open Data', u'addr:postcode': u'WC1N 1HT', u'wheelchair': u'yes', u'fhrs:id': u'426482', u'toilets:wheelchair': u'yes', u'addr:street': u'Coram Street', u'tourism': u'hotel', u'name': u'Holiday Inn, Bloomsbury'}"
3,4256246,51.5319765,-0.1266338,attraction,,"{u'building': u'train_station', u'layer': u'0', u'level': u'1', u'addr:postcode': u'N1C 4QP', u'wheelchair': u'yes', u'tourism': u'attraction', u'start_date': u'2007-12-08', u'addr:street': u'Euston Road'}"
4,4270429,51.6324134,-0.0336558,caravan_site,,"{u'addr:city': u'London', u'addr:postcode': u'N9 0AR', u'contact:website': u'http://www.visitleevalley.org.uk/en/content/cms/where-to-stay-and-short-breaks/camping-caravan/', u'addr:street': u'Meridian Way', u'tourism': u'caravan_site', u'name': u'Lea Valley Camping and Caravan Park'}"
5,4370891,51.508983,-0.14022,attraction,,"{u'name': u'Burlington Arcade', u'wikipedia': u'en:Burlington Arcade', u'note': u'Privately owned. Only open when shops are open.', u'foot': u'permissive', u'tourism': u'attraction', u'start_date': u'1819', u'highway': u'footway'}"
6,4372002,51.5088346,-0.1288534,museum,,"{u'building': u'gallery', u'website': u'http://www.nationalgallery.org.uk', u'fee': u'no', u'addr:city': u'London', u'opening_hours': u'Sa-Th 10:00-18:00; Fr 10:00-21:00', u'wheelchair': u'yes', u'wikipedia': u'en:National Gallery', u'name:de': u'Nationalgalerie', u'source': u'Bing', u'name:en': u'National Gallery', u'postal_code': u'WC2N 5DN', u'name:uk': u'\u041d\u0430\u0446\u0456\u043e\u043d\u0430\u043b\u044c\u043d\u0430 \u0433\u0430\u043b\u0435\u0440\u0435\u044f', u'wikidata': u'Q180788', u'tourism': u'museum', u'name:ru': u'\u041d\u0430\u0446\u0438\u043e\u043d\u0430\u043b\u044c\u043d\u0430\u044f \u0433\u0430\u043b\u0435\u0440\u0435\u044f', u'toilets:wheelchair': u'yes', u'name:gl': u'Galer\xeda Nacional', u'name:zh': u'\u570b\u5bb6\u7f8e\u8853\u9928', u'name:es': u'Galer\xeda Nacional.', u'name': u'National Gallery'}"
7,4680891,51.5299749,-0.1277267,attraction,,"{u'amenity': u'library', u'wikipedia': u'en:British Library', u'postal_code': u'NW1 2DB', u'alt_name': u'New British Library', u'alt_name:es': u'Nueva Librer\xeda Brit\xe1nica', u'addr:housenumber': u'96', u'opening_hours': u'Mo-Fr 09:30-18:00; Sa 09:30-17:00; Su 11:00-17:00', u'epims:property_id': u'528365', u'addr:housename': u'The British Library', u'source': u'Bing', u'addr:street': u'Euston Road', u'website': u'http://www.bl.uk', u'entrance': u'designated', u'listed_status': u'Grade I', u'phone': u'+44 330 333 1144', u'name:uk': u'\u0411\u0440\u0438\u0442\u0430\u043d\u0441\u044c\u043a\u0430 \u0431\u0456\u0431\u043b\u0456\u043e\u0442\u0435\u043a\u0430', u'tourism': u'attraction', u'name': u'British Library', u'building': u'yes', u'addr:city': u'London', u'addr:postcode': u'NW1 2DB', u'wheelchair': u'designated', u'highlight': u'yes'}"
8,4940708,51.5119417,-0.3493132,attraction,,"{u'tourism': u'attraction', u'name': u'Millennium Maze', u'leisure': u'maze'}"
9,4959797,51.4983449,-0.1768434,attraction,,"{u'building': u'tower', u'name': u""Queen's Tower"", u'wikipedia': u""en:Queen's Tower, London"", u'height': u'87.5', u'tower:type': u'bell_tower', u'tourism': u'attraction'}"
10,4959880,51.4970433,-0.1790297,attraction,,"{u'building': u'yes', u'amenity': u'cafe', u'name': u'Dana Centre', u'wikipedia': u'en:Dana Centre', u'attraction': u'events_venue', u'tourism': u'attraction'}"
11,4960879,51.422863,-0.0684115,attraction,,"{u'tourism': u'attraction', u'name': u'The Maze', u'leisure': u'maze'}"
12,4960905,51.419718,-0.0766168,museum,,"{u'building': u'yes', u'website': u'http://www.crystalpalacemuseum.org.uk/', u'addr:city': u'Crystal Palace', u'building:levels': u'2', u'addr:postcode': u'SE19 2BA', u'wikipedia': u'en:The Crystal Palace', u'phone': u'020 8676 0700', u'addr:street': u'Anerley Hill', u'tourism': u'museum', u'name': u'Crystal Palace Museum'}"
13,4961350,51.4459168,-0.0863444,gallery,,"{u'building': u'yes', u'website': u'dulwichpicturegallery.org.uk', u'addr:city': u'London', u'addr:postcode': u'SE21 7AD', u'wikipedia': u'en:Dulwich Picture Gallery', u'addr:street': u'Gallery Road', u'tourism': u'gallery', u'name': u'Dulwich Picture Gallery'}"
14,4993790,51.669635,-0.0682484,museum,,"{u'building': u'yes', u'tourism': u'museum'}"
15,5006061,51.5065447,-0.0812658,attraction,,"{u'building': u'ship', u'website': u'http://hmsbelfast.iwm.org.uk/', u'ref': u'C35', u'addr:city': u'London', u'addr:postcode': u'SE1 2JH', u'wheelchair': u'limited', u'name:he': u'\u05d0\u05d4""\u05de \u05d1\u05dc\u05e4\u05d0\u05e1\u05d8', u'addr:housename': u'The Queen\u2019s Walk', u'height': u'5', u'note': u'Once home to a crew of up to 950 men, HMS Belfast, part of Imperial War Museums, tells the stories of those who lived and worked on board this warship during the Second World War and beyond.', u'ship:type': u'light_cruiser', u'historic': u'ship', u'wikipedia': u'en:HMS Belfast (C35)', u'operator': u'www.iwm.org.uk', u'tourism': u'attraction', u'name:zh': u'\u8d1d\u5c14\u6cd5\u65af\u7279\u53f7\u6218\u5217\u8230', u'start_date': u'1938', u'name': u'HMS Belfast'}"
16,5022282,51.5214424,-0.1388044,attraction,,"{u'building': u'tower', u'layer': u'3', u'name_1': u'GPO Tower', u'name': u'BT Tower', u'building:levels': u'37', u'addr:postcode': u'W1T 4JZ', u'name:he': u'\u05de\u05d2\u05d3\u05dc \u05d1\u05e8\u05d9\u05d8\u05d9\u05e9 \u05d8\u05dc\u05e7\u05d5\u05dd', u'wikipedia': u'en:BT Tower', u'height': u'188.4m', u'building:material': u'concrete', u'alt_name': u'Telecom Tower', u'old_name': u'Post Office Tower', u'tourism': u'attraction', u'addr:street': u'Cleveland Street'}"
17,5028974,51.4471212,-0.0830332,information,,"{u'building': u'yes', u'tourism': u'information', u'name': u'Francis Peek Centre', u'created_by': u'Potlatch alpha'}"
18,5095245,51.4421941,-0.0616866,museum,,"{u'wikipedia': u'en:Horniman Museum and Gardens', u'tourism': u'museum', u'name': u'Horniman Museum and Gardens', u'leisure': u'park'}"
19,5095289,51.4425313,-0.0607007,zoo,,"{u'wheelchair': u'yes', u'tourism': u'zoo', u'name': u'Menagerie'}"
20,5317958,51.4905898,-0.1587499,gallery,,"{u'building': u'yes', u'fee': u'no', u'addr:city': u'London', u'building:levels': u'3', u'addr:postcode': u'SW3 4RY', u'contact:website': u'http://www.saatchigallery.com', u'addr:housename': u""Duke of York's HQ"", u'name': u'Saatchi Gallery', u'wikipedia': u'en:Saatchi Gallery', u'opening_hours': u'Mo-Su 10:00-18:00', u'tourism': u'gallery', u'addr:country': u'GB', u'addr:street': u""King's Road""}"
21,5987419,51.5057757,-0.1167859,attraction,,"{u'building': u'yes', u'amenity': u'theatre', u'name': u'Royal Festival Hall', u'building:levels': u'6', u'wheelchair': u'yes', u'wikipedia': u'en:Royal Festival Hall', u'tourism': u'attraction'}"
22,6534148,51.4680068,-0.2109596,hotel,,"{u'building': u'yes', u'addr:city': u'London Borough of Hammersmith and Fulham', u'building:levels': u'-1, 0, 1, 2, 3, 4, 5, 6', u'description': u'It has a partially underground car park. Floors 1-6 are the rooms floors & need a swipe card in the lifts. floor 0 has the reception & a restaurant & bar which serves coffee of the brand Costa. -1 has a partially underground car park & is public.', u'addr:housename': u'Premier Inn London Putney Bridge', u'building_1': u'hotel', u'name': u'Premier Inn', u'tourism': u'hotel', u'wheelchair': u'yes', u'addr:street': u'Putney Bridge Approach'}"
23,8614496,51.4957826,-0.1085966,museum,,"{u'building': u'museum', u'addr:city': u'London', u'addr:postcode': u'SE1 6HZ', u'wheelchair': u'yes', u'opening_hours': u'Mo-Su 10:00-18:00', u'note': u'IWM London tells the story of those whose lives have been shaped by war from the First World War to the present day. Find out more about the First World War in our brand new First World War Galleries.', u'phone': u'+44 20 7416 5000', u'old_name': u'Bethlem Royal Hospital', u'addr:street': u'Lambeth Road', u'tourism': u'museum', u'name': u'Imperial War Museum'}"
24,8877349,51.5048083,-0.0786494,attraction,,"{u'building': u'yes', u'toilets': u'yes', u'amenity': u'townhall', u'description': u'City Hall, home of the Greater London Authority and the Mayor of London.', u'name:no': u'R\xe5dhuset', u'building:levels': u'1', u'addr:postcode': u'SE1 2AA', u'roof:material': u'glass', u'website': u'http://www.london.gov.uk/city-hall', u'wikipedia': u'en:City Hall (London)', u'layer': u'1', u'name': u'City Hall', u'toilets:access': u'public', u'building:material': u'glass', u'name:ko': u'\ub7f0\ub358 \uc2dc\uccad', u'opening_hours': u'Mo-Fr 08:30-17:30', u'name:de': u'Rathaus', u'tourism': u'attraction', u'wheelchair': u'yes', u'name:es': u'Ayuntamiento', u'addr:street': u""The Queen's Walk""}"
25,10697629,51.4855494,0.1197303,camp_site,,"{u'tourism': u'camp_site', u'name': u'Abbey Wood Caravan Site'}"
26,10790633,51.5290503,-0.0548336,museum,,"{u'building': u'yes', u'source': u'Yahoo', u'tourism': u'museum', u'name': u'V&A Museum of Childhood'}"
