id,lat,lon,amenity,type
4734008,51.43665,-0.25715,parking,transportation
4734010,51.43296,-0.2685,parking,transportation
4764498,51.43659,-0.32044,parking,transportation
4769474,51.43034,-0.26373,university,educational
4770429,51.42113,-0.29272,school,educational
4770646,51.41708,-0.28639,school,educational
4770823,51.42862,-0.2614,school,educational
4775621,51.43684,-0.3191,school,educational
5228133,51.42036,-0.24652,parking,transportation
6220025,51.35022,-0.31495,parking,transportation
6220402,51.35002,-0.3135,parking,transportation
6220422,51.34979,-0.31416,parking,transportation
10698810,51.41078,-0.30178,post box,services
10702727,51.41002,-0.30501,post box,services
16277711,51.39413,-0.30526,parking,transportation
21442271,51.3989,-0.24346,fuel,services
22498760,51.40439,-0.30357,university,educational
22498784,51.41021,-0.29687,school,educational
22747509,51.40556,-0.29643,school,educational
22751248,51.38217,-0.29151,school,educational
22917385,51.40545,-0.30011,university,educational
22917413,51.41132,-0.29947,public building,government
22917418,51.41101,-0.30545,public building,government
22941351,51.40312,-0.29083,recycling,services
23015878,51.41093,-0.26437,school,educational
23028424,51.3821,-0.2837,fuel,services
23039042,51.40194,-0.23991,parking,transportation
23088172,51.37428,-0.29685,school,educational
23088561,51.37909,-0.291,hospital,health
23090003,51.39081,-0.29897,hospital,health
23108964,51.41373,-0.26571,school,educational
23109454,51.413,-0.28312,hospital,health
23127265,51.40045,-0.253,parking,transportation
23127282,51.40014,-0.25441,parking,transportation
23679962,51.41032,-0.30617,place of worship,other
24391696,51.40481,-0.30042,school,educational
24527412,51.37491,-0.24202,other,other
24579812,51.3778,-0.24305,parking,transportation
24579813,51.37797,-0.2416,parking,transportation
24579814,51.37819,-0.24259,parking,transportation
24620259,51.39853,-0.26003,school,educational
25553616,51.42179,-0.28568,parking,transportation
26038523,51.37944,-0.29896,post box,services
26220108,51.4128,-0.30697,parking,transportation
26254526,51.40918,-0.3029,parking,transportation
26254849,51.41414,-0.30139,parking,transportation
26479685,51.39255,-0.30317,parking,transportation
26567500,51.41197,-0.29484,school,educational
26704618,51.41238,-0.29993,bus station,transportation
26704694,51.36257,-0.31437,public building,government
26733124,51.41019,-0.30039,parking,transportation
27328347,51.38676,-0.26137,school,educational
27794228,51.40446,-0.24193,parking,transportation
27794373,51.40091,-0.24105,fuel,services
27833419,51.39197,-0.30456,parking,transportation
27833653,51.39217,-0.29788,fire station,government
27833654,51.39267,-0.29828,library,other
27833655,51.39236,-0.29811,public building,government
27833656,51.39292,-0.29823,courthouse,government
27833921,51.38972,-0.29262,place of worship,other
27866369,51.41076,-0.29117,place of worship,other
27866380,51.4108,-0.29636,place of worship,other
27879755,51.40914,-0.2951,school,educational
27920900,51.39536,-0.25456,place of worship,other
27920934,51.39792,-0.25472,place of worship,other
28037429,51.38777,-0.25192,parking,transportation
28057200,51.36438,-0.29442,kindergarten,educational
28114884,51.39701,-0.31177,pub,food and drinks
28114885,51.39697,-0.31124,parking,transportation
28875887,51.3268,-0.32792,parking,transportation
30024364,51.42404,-0.30365,school,educational
30480213,51.42026,-0.27873,post box,services
30482156,51.42475,-0.27456,post box,services
30483267,51.42337,-0.29011,post box,services
30483366,51.4195,-0.28755,pub,food and drinks
30483512,51.41768,-0.2855,place of worship,other
30483569,51.43306,-0.26275,post box,services
30484259,51.43504,-0.2578,post office,services
30484260,51.43363,-0.25883,place of worship,other
30512931,51.42655,-0.29823,pub,food and drinks
30607834,51.41674,-0.29712,place of worship,other
30614964,51.43402,-0.28161,parking,transportation
30629721,51.41724,-0.29385,post box,services
30629850,51.41714,-0.294,pub,food and drinks
30631417,51.4222,-0.30296,post box,services
30669307,51.43725,-0.3156,post box,services
32687839,51.40518,-0.27541,school,educational
32878461,51.41184,-0.31251,place of worship,other
32930164,51.40443,-0.26587,school,educational
32954340,51.40572,-0.27545,school,educational
33739816,51.39516,-0.30026,place of worship,other
34119492,51.39551,-0.31947,parking,transportation
34795257,51.42469,-0.30116,school,educational
34795384,51.4235,-0.30201,school,educational
35100611,51.4073,-0.2988,place of worship,other
35392883,51.39598,-0.29797,school,educational
37418205,51.4347,-0.3157,school,educational
38935912,51.41443,-0.30069,bicycle,services
39862550,51.40869,-0.30299,parking,transportation
39863394,51.40868,-0.30275,parking,transportation
39864463,51.41023,-0.30356,parking,transportation
40422560,51.4148,-0.30501,parking,transportation
41490615,51.41006,-0.30499,place of worship,other
48775192,51.42203,-0.29519,school,educational
51422157,51.39149,-0.31078,place of worship,other
51452078,51.40025,-0.30207,school,educational
51453545,51.39884,-0.30292,school,educational
51827481,51.39308,-0.30887,place of worship,other
58965170,51.41379,-0.29964,kindergarten,educational
58965171,51.41472,-0.30135,college,educational
58965172,51.41451,-0.3014,college,educational
58965173,51.41486,-0.3018,college,educational
61374798,51.37982,-0.30498,school,educational
65140202,51.40492,-0.30391,dentist,health
65140204,51.40484,-0.30244,place of worship,other
66395570,51.40385,-0.30396,parking,transportation
66395640,51.40394,-0.30328,parking,transportation
66395651,51.40276,-0.30243,parking,transportation
66395659,51.40321,-0.30426,parking,transportation
66395661,51.40321,-0.30284,gym,health
66395677,51.4051,-0.3039,dentist,health
66395690,51.40373,-0.30328,parking,transportation
66395749,51.40497,-0.30371,restaurant,food and drinks
66395801,51.40413,-0.30413,parking,transportation
87524436,51.41075,-0.29808,pub,food and drinks
87524437,51.41021,-0.30035,bus station,transportation
87534406,51.40747,-0.3064,parking,transportation
99383263,51.43711,-0.25346,parking,transportation
103362186,51.40917,-0.298,pub,food and drinks
103568318,51.4104,-0.29488,pub,food and drinks
103573505,51.40916,-0.29404,pub,food and drinks
103695481,51.40759,-0.29758,pub,food and drinks
103715749,51.40434,-0.29476,place of worship,other
104179822,51.40788,-0.29492,pub,food and drinks
104303246,51.40985,-0.28916,fast food,food and drinks
104421722,51.40772,-0.28473,pub,food and drinks
106903671,51.43639,-0.31949,place of worship,other
108128606,51.43551,-0.31131,dentist,health
110152494,51.35436,-0.31253,parking,transportation
116624957,51.40866,-0.28514,place of worship,other
116804485,51.41374,-0.28761,fuel,services
116851613,51.40901,-0.29147,post office,services
117264471,51.38521,-0.29487,pub,food and drinks
117281545,51.39201,-0.30672,pub,food and drinks
117285166,51.40927,-0.2918,pub,food and drinks
123125907,51.40188,-0.29491,pub,food and drinks
123158045,51.40332,-0.29968,pub,food and drinks
123158047,51.40318,-0.30054,place of worship,other
123271721,51.40304,-0.30409,parking,transportation
126886041,51.39388,-0.29627,parking,transportation
126890283,51.3938,-0.29588,parking,transportation
126979326,51.408,-0.30682,police,government
132153935,51.40574,-0.23931,parking,transportation
132154174,51.40562,-0.241,parking,transportation
134099555,51.35948,-0.30069,parking,transportation
134900011,51.38258,-0.30093,pub,food and drinks
134903987,51.38341,-0.28945,post box,services
134932854,51.38461,-0.29274,police,government
136804270,51.38462,-0.29357,post box,services
138801879,51.36571,-0.31835,school,educational
141256618,51.35858,-0.30046,grave yard,other
141309093,51.36609,-0.2972,school,educational
143606575,51.40591,-0.30145,school,educational
150470710,51.41027,-0.26151,hospital,health
157050641,51.39462,-0.30674,school,educational
159061686,51.39264,-0.30638,pharmacy,shopping
159063829,51.39865,-0.30437,school,educational
159064697,51.39769,-0.30256,school,educational
161099547,51.42337,-0.30889,parking,transportation
161415781,51.36142,-0.30285,parking,transportation
161461922,51.36751,-0.30762,parking,transportation
164929878,51.40545,-0.28361,parking,transportation
165981608,51.39422,-0.3052,recycling,services
171702320,51.38876,-0.29848,place of worship,other
174640173,51.39949,-0.25528,post office,services
175646790,51.38225,-0.24486,parking,transportation
178683434,51.42326,-0.32261,parking,transportation
186478873,51.39007,-0.29586,parking,transportation
186481601,51.39089,-0.29465,parking,transportation
186491337,51.392,-0.30101,college,educational
186498936,51.38878,-0.30242,parking,transportation
188252840,51.39497,-0.23916,public building,government
188594376,51.39199,-0.2394,swimming pool,health
189196569,51.37551,-0.30333,fuel,services
190954117,51.3961,-0.24755,school,educational
190955089,51.39485,-0.24703,school,educational
190955090,51.39488,-0.2474,school,educational
190955091,51.39564,-0.24786,school,educational
194266396,51.43694,-0.25117,university,educational
194305500,51.40401,-0.27319,parking,transportation
194305502,51.40351,-0.2732,parking,transportation
194305503,51.40239,-0.26872,parking,transportation
195118414,51.39836,-0.24786,parking,transportation
195641877,51.40152,-0.26711,fuel,services
195941675,51.38235,-0.28468,school,educational
195959669,51.38237,-0.2843,place of worship,other
195961456,51.38103,-0.28149,parking,transportation
196360580,51.38695,-0.29155,school,educational
198489304,51.40264,-0.26819,parking,transportation
206899165,51.37539,-0.30343,fuel,services
207203315,51.42339,-0.32122,post box,services
207433226,51.42792,-0.23828,parking,transportation
209102782,51.42375,-0.30873,ferry terminal,transportation
211552798,51.42258,-0.32621,school,educational
211554607,51.41814,-0.31106,school,educational
211555228,51.42014,-0.32141,school,educational
211556068,51.41656,-0.31021,school,educational
211819112,51.42395,-0.30987,school,educational
212388243,51.41004,-0.30504,parking,transportation
219293403,51.38724,-0.28799,parking,transportation
220614893,51.40306,-0.25586,parking,transportation
221214984,51.37905,-0.27423,school,educational
221259828,51.39873,-0.25396,veterinary,services
221310473,51.41213,-0.31733,parking,transportation
223017675,51.41748,-0.28447,school,educational
223308981,51.41335,-0.29652,pub,food and drinks
223308982,51.41292,-0.31133,pub,food and drinks
223308983,51.41976,-0.30165,fuel,services
223957646,51.43236,-0.26942,parking,transportation
231419598,51.37683,-0.26851,pub,food and drinks
231419612,51.3768,-0.26889,parking,transportation
235460938,51.3983,-0.24608,parking,transportation
235460941,51.39913,-0.24552,fire station,government
235460943,51.39921,-0.24475,parking,transportation
235742951,51.37954,-0.27908,parking,transportation
239996529,51.40891,-0.25259,post box,services
239996536,51.40575,-0.25339,post box,services
239996542,51.40638,-0.25754,post box,services
239996571,51.4072,-0.26406,post box,services
240326416,51.4174,-0.2883,school,educational
240326427,51.41734,-0.28859,school,educational
240642090,51.39207,-0.26731,pub,food and drinks
241456117,51.40924,-0.29704,post box,services
241473415,51.40931,-0.30645,pub,food and drinks
242569331,51.39844,-0.25514,pub,food and drinks
242917382,51.37831,-0.29191,post box,services
243715111,51.4133,-0.25996,post box,services
243715124,51.41147,-0.26167,post box,services
243715131,51.41212,-0.26764,post box,services
243715146,51.41127,-0.27728,post box,services
243715249,51.41834,-0.25734,post box,services
244003241,51.3806,-0.28197,pub,food and drinks
247117676,51.40257,-0.27098,pub,food and drinks
247118955,51.40646,-0.29449,post box,services
247220968,51.37572,-0.30066,school,educational
247278510,51.40741,-0.27406,recycling,services
248438747,51.37639,-0.29556,post box,services
248439600,51.37463,-0.29653,school,educational
248443928,51.38187,-0.29237,school,educational
248443969,51.38207,-0.29212,school,educational
248539050,51.38018,-0.29057,laundry,services
248539055,51.3783,-0.29204,post office,services
248539552,51.37552,-0.30341,atm,services
248539602,51.37664,-0.30314,post box,services
248539620,51.37549,-0.30422,pub,food and drinks
249602658,51.39888,-0.2501,post office,services
249607150,51.39894,-0.2501,post box,services
249609433,51.3986,-0.25459,parking,transportation
249711804,51.40779,-0.30044,post box,services
251256187,51.37705,-0.30371,place of worship,other
251946303,51.39183,-0.29811,place of worship,other
251946310,51.39005,-0.29468,kindergarten,educational
256206205,51.42087,-0.32101,place of worship,other
256208840,51.41904,-0.31694,place of worship,other
256646983,51.39307,-0.30629,parking,transportation
256649827,51.39265,-0.30494,pub,food and drinks
256651506,51.39263,-0.30517,bank,services
256651509,51.39264,-0.30535,bank,services
256656710,51.39339,-0.3047,bank,services
256656772,51.39309,-0.30467,bank,services
256656835,51.39302,-0.30483,post office,services
256656885,51.39302,-0.30483,coffee,food and drinks
256656957,51.39444,-0.30447,coffee,food and drinks
256782946,51.41359,-0.2886,pharmacy,shopping
256832716,51.38695,-0.29913,school,educational
257061995,51.39313,-0.30515,coffee,food and drinks
257686945,51.38543,-0.29709,place of worship,other
258326867,51.40817,-0.28964,pub,food and drinks
261965658,51.41463,-0.28171,hospital,health
262656421,51.41359,-0.28727,pub,food and drinks
263233879,51.42992,-0.25457,parking,transportation
264141190,51.43669,-0.24411,school,educational
264713443,51.40408,-0.29625,post box,services
264905310,51.40366,-0.24968,car sharing,services
264905315,51.41215,-0.28307,car sharing,services
264905319,51.4082,-0.30335,car sharing,services
264905323,51.42014,-0.30126,car sharing,services
264905327,51.40337,-0.3065,car sharing,services
264905357,51.40823,-0.30324,car sharing,services
264905372,51.4122,-0.28324,car sharing,services
266619051,51.37812,-0.2415,library,other
266624265,51.37817,-0.24108,post box,services
266716568,51.3677,-0.24443,post box,services
266716572,51.37513,-0.24391,post box,services
266747826,51.38536,-0.24044,post box,services
266747827,51.37984,-0.24372,post office,services
266747830,51.38001,-0.24413,pub,food and drinks
266890502,51.37755,-0.23956,post box,services
266890503,51.37866,-0.24187,coffee,food and drinks
266890504,51.37893,-0.24248,bank,services
274158269,51.398,-0.28054,pub,food and drinks
274785338,51.38218,-0.26133,place of worship,other
278693843,51.413,-0.28338,public building,government
282221012,51.41102,-0.24166,parking,transportation
285518328,51.39313,-0.29524,post box,services
285518383,51.39273,-0.29661,pub,food and drinks
286055915,51.41578,-0.28468,post box,services
286372991,51.39244,-0.30336,post box,services
287531074,51.40926,-0.30418,parking,transportation
288628333,51.42787,-0.32193,parking,transportation
288629162,51.4271,-0.31912,parking,transportation
289663914,51.42737,-0.30714,parking,transportation
290205752,51.39426,-0.29883,post box,services
290205760,51.39286,-0.30431,recycling,services
290205762,51.39215,-0.30319,recycling,services
290205763,51.39066,-0.29818,post box,services
290205765,51.38864,-0.29461,post box,services
290205767,51.38969,-0.29301,pub,food and drinks
290261421,51.39343,-0.30444,post box,services
291012484,51.38998,-0.29143,post box,services
291509827,51.43038,-0.30746,fuel,services
291606140,51.41607,-0.30468,post box,services
291865301,51.38487,-0.29444,bicycle,services
292016693,51.4359,-0.31091,place of worship,other
292131860,51.41431,-0.24054,post box,services
292381354,51.39035,-0.30127,post box,services
292381365,51.38791,-0.29933,school,educational
292387606,51.39093,-0.30718,hospital,health
293702007,51.39307,-0.29535,convenience,shopping
293702008,51.39309,-0.29561,pub,food and drinks
293702009,51.39324,-0.29608,laundry,services
293702011,51.39324,-0.29585,pharmacy,shopping
293702012,51.39324,-0.29578,fast food,food and drinks
293702013,51.39324,-0.296,newsagent,services
293702014,51.39328,-0.29558,convenience,shopping
293872610,51.41865,-0.30559,pub,food and drinks
