Ward_name,Old_code,New_code,Population__2015,In_employment_(1664)__2011,Number_of_jobs_in_area__2013,Median_House_Price_(£)__2014,Median_Household_income_(£)_estimate_(2012/13),Average_Public_Transport_Accessibility_score__2014
City_of_London,00AA,E09000001,8100.00,4555.00,392400.00,765000.00,63620.00,7.90
Barking_and_Dagenham__Abbey,00ABFX,E05000026,14750.00,5444.00,9500.00,173000.00,33920.00,6.00
Barking_and_Dagenham__Alibon,00ABFY,E05000027,10600.00,4143.00,1000.00,215000.00,32470.00,3.10
Barking_and_Dagenham__Becontree,00ABFZ,E05000028,12700.00,4598.00,1300.00,210000.00,33000.00,2.90
Barking_and_Dagenham__Chadwell_Heath,00ABGA,E05000029,10400.00,3819.00,1900.00,240500.00,33920.00,2.30
Barking_and_Dagenham__Eastbrook,00ABGB,E05000030,10750.00,4592.00,4000.00,240000.00,37400.00,2.30
Barking_and_Dagenham__Eastbury,00ABGC,E05000031,11900.00,4546.00,1200.00,220000.00,32870.00,2.70
Barking_and_Dagenham__Gascoigne,00ABGD,E05000032,15850.00,4382.00,2900.00,200000.00,29480.00,3.20
Barking_and_Dagenham__Goresbrook,00ABGE,E05000033,11450.00,4544.00,1300.00,205000.00,33250.00,2.50
Barking_and_Dagenham__Heath,00ABGF,E05000034,11150.00,4043.00,3100.00,215000.00,31340.00,2.70
Barking_and_Dagenham__Longbridge,00ABGG,E05000035,11900.00,4894.00,1300.00,312750.00,40570.00,3.10
Barking_and_Dagenham__Mayesbrook,00ABGH,E05000036,10550.00,3978.00,1100.00,212000.00,31530.00,2.50
Barking_and_Dagenham__Parsloes,00ABGJ,E05000037,10050.00,3785.00,700.00,213000.00,31860.00,2.70
Barking_and_Dagenham__River,00ABGK,E05000038,11950.00,4420.00,5100.00,205500.00,33490.00,3.00
Barking_and_Dagenham__Thames,00ABGL,E05000039,18950.00,4081.00,9700.00,219000.00,32580.00,2.10
Barking_and_Dagenham__Valence,00ABGM,E05000040,10250.00,3873.00,1900.00,215000.00,33200.00,3.20
Barking_and_Dagenham__Village,00ABGN,E05000041,11050.00,4242.00,1200.00,202500.00,31960.00,2.70
Barking_and_Dagenham__Whalebone,00ABGP,E05000042,11150.00,4617.00,2700.00,235000.00,37180.00,2.90
Barnet__Brunswick_Park,00ACFX,E05000043,17550.00,7603.00,3900.00,435000.00,39800.00,2.90
Barnet__Burnt_Oak,00ACFY,E05000044,19650.00,7674.00,2800.00,250000.00,29400.00,3.60
Barnet__Childs_Hill,00ACFZ,E05000045,21100.00,9309.00,7000.00,507500.00,38960.00,4.50
Barnet__Colindale,00ACGA,E05000046,26600.00,7344.00,9000.00,302500.00,30170.00,2.50
Barnet__Coppetts,00ACGB,E05000047,18050.00,8630.00,3800.00,335000.00,38090.00,2.90
Barnet__East_Barnet,00ACGC,E05000048,17100.00,7566.00,3700.00,368000.00,39870.00,2.80
Barnet__East_Finchley,00ACGD,E05000049,16850.00,8153.00,4200.00,437500.00,41160.00,2.60
Barnet__Edgware,00ACGE,E05000050,17600.00,7259.00,6900.00,455000.00,38410.00,3.00
Barnet__Finchley_Church_End,00ACGF,E05000051,16800.00,7386.00,6000.00,528000.00,45030.00,2.90
Barnet__Garden_Suburb,00ACGG,E05000052,16950.00,7373.00,6000.00,825000.00,53090.00,2.70
Barnet__Golders_Green,00ACGH,E05000053,24950.00,7635.00,6200.00,555250.00,40800.00,3.40
Barnet__Hale,00ACGJ,E05000054,18250.00,7828.00,3000.00,397250.00,38590.00,2.60
Barnet__Hendon,00ACGK,E05000055,19300.00,8381.00,8300.00,350000.00,38530.00,2.70
Barnet__High_Barnet,00ACGL,E05000056,16300.00,7421.00,6800.00,419423.00,43940.00,2.70
Barnet__Mill_Hill,00ACGM,E05000057,20000.00,8329.00,7300.00,520000.00,41920.00,2.30
Barnet__Oakleigh,00ACGN,E05000058,16650.00,7486.00,4400.00,366000.00,41670.00,3.30
Barnet__Totteridge,00ACGP,E05000059,16900.00,6849.00,5600.00,627750.00,46150.00,2.50
Barnet__Underhill,00ACGQ,E05000060,17300.00,6874.00,4900.00,389950.00,37040.00,2.60
Barnet__West_Finchley,00ACGR,E05000061,17500.00,8583.00,8700.00,385000.00,42050.00,3.60
Barnet__West_Hendon,00ACGS,E05000062,19250.00,8051.00,9800.00,346250.00,35090.00,3.50
Barnet__Woodhouse,00ACGT,E05000063,18700.00,8568.00,5900.00,370000.00,38220.00,2.90
Bexley__Barnehurst,00ADGA,E05000064,10600.00,4958.00,2200.00,250000.00,38200.00,3.10
Bexley__Belvedere,00ADGB,E05000065,12400.00,5439.00,3800.00,179500.00,33510.00,2.80
Bexley__Blackfen_and_Lamorbey,00ADGC,E05000066,10700.00,5157.00,1100.00,280000.00,40780.00,2.10
Bexley__Blendon_and_Penhill,00ADGD,E05000067,11000.00,5336.00,1500.00,275000.00,40340.00,2.10
Bexley__Brampton,00ADGE,E05000068,10600.00,4995.00,1700.00,315000.00,40790.00,2.70
Bexley__Christchurch,00ADGF,E05000069,11350.00,5368.00,8800.00,275000.00,40190.00,3.40
Bexley__Colyers,00ADGG,E05000070,11400.00,4951.00,800.00,247000.00,34450.00,2.00
Bexley__Crayford,00ADGH,E05000071,11950.00,5236.00,7300.00,231500.00,34900.00,2.10
