,id,lat,lon,amenity
0,108042,51.5235442,-0.1355991,pub
1,108539,51.5291251,-0.0933878,bicycle_rental
2,109575,51.5282624,-0.1431214,advice
3,110075,51.5342569,-0.1402758,bicycle_parking
4,451152,51.6008404,-0.1946078,pub
5,451153,51.6020306,-0.1935029,restaurant
6,451154,51.5995863,-0.1960052,pub
7,451156,51.5996316,-0.197601,place_of_worship
8,451271,51.6141038,-0.1765046,pub
9,469648,51.6323613,-0.2002582,place_of_worship
10,699763,51.5050712,-0.2164171,place_of_worship
11,892479,51.3733104,-0.4059463,fuel
12,892979,51.3856574,-0.4133737,place_of_worship
13,3210224,51.599014,-0.1965456,post_box
14,4721717,51.3770989,-0.4100545,post_office
15,8695944,51.2935731,-0.487657,fuel
16,10698810,51.4107849,-0.3017792,post_box
17,10702727,51.4100244,-0.3050068,post_box
18,10806290,51.3509907,-0.1616453,place_of_worship
19,11898550,51.5856698,0.0337889,post_box
20,11928923,51.3291442,-0.4129922,place_of_worship
21,12136172,51.3373941,-0.4047641,fuel
22,12185812,51.4888225,-0.3884515,parking
23,12229789,51.3139031,-0.3812048,place_of_worship
24,12242503,51.5920158,0.0279621,pub
25,12243302,51.5759872,0.0282186,pub
26,12245485,51.58312,0.020594,pub
27,13353276,51.409935,-0.444153,pub
28,13359736,51.4232355,-0.4491484,traffic_light_camera
29,13359737,51.4233154,-0.4486348,fuel
30,13799212,51.5210789,-0.1156316,library
31,13833379,51.4397645,-0.0016191,post_office
32,13833380,51.435315,-0.008638,post_box
33,13833381,51.4375862,-0.0019447,post_box
34,13878265,51.444626,-0.0206975,library
35,13878266,51.4447462,-0.0197271,post_office
36,14952548,51.6569454,-0.500006,pub
37,14953357,51.6584557,-0.5036484,place_of_worship
38,15262028,51.5163946,-0.1697626,pub
39,15320326,51.3046998,-0.3343128,telephone
40,15415851,51.5380645,-0.1495939,public_building
41,16602396,51.450011,-0.4174507,fuel
42,16602695,51.4492586,-0.4145948,telephone
43,16602730,51.4507141,-0.4208368,place_of_worship
44,16602745,51.4508337,-0.4211662,place_of_worship
45,16960853,51.4099116,-0.3361791,fountain
46,17345465,51.6518778,-0.0645932,parking
47,17806374,51.4492207,-0.2371211,place_of_worship
48,17806375,51.453407,-0.221599,pub
49,17978996,51.574614,-0.3355776,parking
50,18235090,51.4628591,-0.2266975,pub
51,18301609,51.4671595,-0.2287694,place_of_worship
52,18354390,51.6367207,-0.4830669,fuel
53,19828422,51.3902487,-0.4224129,pub
54,20576176,51.325141,-0.0070767,pub
