,id,type,first node,amenity,lat,lon
0,28303,way,727341199,parking,,
1,75215,way,649321,parking,,
2,1080949,way,640174,parking,,
3,2956081,way,648042,parking,,
4,2956183,way,629136,parking,,
5,2956184,way,26472332,parking,,
6,2956185,way,650089,parking,,
7,2956187,way,13878240,public_building,,
8,2956473,way,13884397,parking,,
9,3042477,way,3419560618,parking,,
10,3184215,way,15310346,parking,,
11,3345045,way,1421780683,parking,,
12,3541789,way,1558417252,parking,,
13,3787243,way,18911659,parking,,
14,3979215,way,3946331404,parking,,
15,3979216,way,835698722,parking,,
16,3979217,way,20630099,parking,,
17,3979265,way,20631990,parking,,
18,3979309,way,20633368,parking,,
19,3979310,way,20633363,parking,,
20,3981200,way,648811,parking,,
21,3989907,way,1829397458,parking,,
22,4038654,way,21381147,parking,,
23,4055100,way,3207534805,parking,,
24,4068461,way,21533922,school,,
25,4075880,way,21590927,parking,,
26,4075882,way,2312383698,parking,,
27,4075884,way,21590908,parking,,
28,4075898,way,21591101,parking,,
29,4075901,way,21591111,parking,,
30,4075902,way,21591117,police,,
31,4075929,way,2924018565,bus_garage,,
32,4076420,way,762080105,place_of_worship,,
33,4076569,way,648007,parking,,
34,4076575,way,21596302,parking,,
35,4076578,way,21596363,parking,,
36,4076609,way,21596458,parking,,
37,4076629,way,21596954,parking,,
38,4076630,way,21596941,parking,,
39,4076660,way,21597401,fuel,,
40,4076661,way,21597510,parking,,
41,4076662,way,21597116,parking,,
42,4076663,way,21597385,parking,,
43,4082479,way,1106405764,parking,,
44,4089846,way,21770256,parking,,
45,4089847,way,3222367387,parking,,
46,4090217,way,21776699,parking,,
47,4097475,way,21900223,school,,
48,4112006,way,22308424,parking,,
49,4132124,way,22924489,school,,
50,4211785,way,24954945,hospital,,
51,4227933,way,25229265,parking,,
52,4229534,way,26470097,school,,
53,4234606,way,25277649,school,,
54,4234649,way,25277680,school,,
55,4237383,way,25298521,studio,,
56,4239295,way,1312339676,school,,
57,4240903,way,25323990,parking,,
58,4241210,way,25325704,parking,,
59,4241211,way,25325695,parking,,
60,4241223,way,25324969,parking,,
61,4243024,way,1297044635,parking,,
62,4256358,way,25499365,hospital,,
63,4259762,way,25324980,parking,,
64,4259764,way,25324984,parking,,
65,4262577,way,25578905,school,,
66,4267812,way,25616526,school,,
67,4268232,way,21652374,parking,,
68,4269914,way,25643416,school,,
69,4270351,way,25637027,restaurant,,
70,4270352,way,25636982,cinema,,
71,4270353,way,25637089,parking,,
72,4271138,way,20825833,hospital,,
73,4275185,way,25722470,parking,,
74,4289954,way,25895991,school,,
75,4292234,way,25915805,parking,,
76,4294306,way,25935887,parking,,
77,4296209,way,25949661,parking,,
78,4303990,way,26027217,parking,,
79,4317688,way,26198960,parking,,
80,4345905,way,26470732,parking,,
